Sentence1,Sentence2
The cat sat on the mat,A cat sat on a mat
The bird flew away,A bird flew away
The sun is shining,A sun is shining
The children are playing,Children are playing
The car is red,A car is red
The flowers are blooming,Flowers are blooming
The book is interesting,A book is interesting
The movie was exciting,A movie was exciting
The food was delicious,Food was delicious
The music is loud,Music is loud
The dog barked loudly,A dog barked loudly
The rain is falling,Rain is falling
The teacher explained the lesson,A teacher explained a lesson
The student answered the question,A student answered a question
The answer is correct,An answer is correct
The problem is difficult,A problem is difficult
The solution is simple,A solution is simple
The solution is elegant,An elegant solution exists.
The assignment is due tomorrow,An assignment is due tomorrow
The report is long,A report is long
The meeting is at 3 PM,A meeting is at 3 PM
The presentation was successful,A presentation was successful
The project is complete,A project is complete
The team celebrated,A team celebrated
The party was fun,A party was fun
The cake was delicious,Cake was delicious
The coffee is hot,Coffee is hot
The weather is nice,Weather is nice
The sky is blue,A sky is blue.
The grass is green,Grass is green.
The tree is tall,A tree is tall
The house is big,A house is big
The car is fast,A car is fast
The train is late,A train is late
The bus is crowded,A bus is crowded
The plane is flying,A plane is flying
The ship is sailing,A ship is sailing
The boat is sinking,A boat is sinking
The bicycle is broken,A bicycle is broken
The phone is ringing,A phone is ringing
The television is on,Television is on
The computer is working,A computer is working
The internet is slow,The internet is slow.
The email is important,An email is important
The letter arrived,A letter arrived
The package was delivered,A package was delivered
The news is shocking,News is shocking
The story is interesting,A story is interesting
The song is beautiful,A song is beautiful
The painting is amazing,A painting is amazing
The sculpture is impressive,A sculpture is impressive
The museum is closed,The museum is closed.
The park is crowded,A park is crowded
The library is quiet,The library is quiet.
The restaurant is busy,A restaurant is busy
The café is cozy,The café is cozy.
The shop is open,A shop is open
The store is closed,The store is closed
The market is bustling,A market is bustling
The street is busy,A street is busy
The city is large,A city is large
The town is small,A town is small
The village is peaceful,A village is peaceful
The country is beautiful,The country is beautiful.
The mountain is high,A mountain is high
The river is long,A river is long
The lake is calm,A lake is calm
The sea is vast,The sea is vast.
The ocean is deep,The ocean is deep.
The beach is sandy,The beach is sandy.
The desert is hot,A desert is hot
The forest is dense,A forest is dense
The jungle is humid,A jungle is humid
The field is green,A field is green
The farm is large,A farm is large
The garden is beautiful,A garden is beautiful
The flowers are colorful,Flowers are colorful.
The trees are tall,Trees are tall
The birds are singing,Birds are singing
The animals are sleeping,Animals are sleeping
The sun is setting,The sun is setting
The moon is shining,The moon is shining
The stars are twinkling,Stars are twinkling
