Sentence1,Sentence2
The dog chased the ball.,The dog might have chased the ball.
The sun is shining.,The sun may be shining.
The car is red.,The car could be red.
She ate the cake.,She may have eaten the cake.
He went to the store.,He might have gone to the store.
The birds are singing.,The birds might be singing.
It is raining.,It may be raining.
The flowers are blooming.,The flowers might be blooming.
The train is late.,The train could be late.
The book is interesting.,The book might be interesting.
The movie is good.,The movie could be good.
He finished the project.,He might have finished the project.
She passed the exam.,She may have passed the exam.
They won the game.,They might have won the game.
The food is delicious.,The food may be delicious.
The music is loud.,The music could be loud.
He is happy.,He might be happy.
She is sad.,She could be sad.
The sky is blue.,The sky might be blue.
The cat is sleeping.,The cat may be sleeping.
The children are playing.,The children might be playing.
The leaves are falling.,The leaves may be falling.
The snow is melting.,The snow might be melting.
The river is flowing.,The river could be flowing.
The wind is blowing.,The wind might be blowing.
The stars are shining.,The stars may be shining.
The moon is full.,The moon might be full.
The earth is round.,The earth is believed to be round.
The water is cold.,The water might be cold.
The sand is hot.,The sand could be hot.
The air is fresh.,The air may be fresh.
The grass is green.,The grass might be green.
The trees are tall.,The trees could be tall.
The mountains are high.,The mountains might be high.
The ocean is deep.,The ocean may be deep.
The clouds are white.,The clouds might be white.
The sun is setting.,The sun may be setting.
The birds are flying.,The birds might be flying.
The fish are swimming.,The fish could be swimming.
The bees are buzzing.,The bees might be buzzing.
The ants are crawling.,The ants may be crawling.
The spiders are spinning webs.,The spiders might be spinning webs.
The worms are wriggling.,The worms could be wriggling.
The butterflies are fluttering.,The butterflies might be fluttering.
The flowers are fragrant.,The flowers may be fragrant.
The fruit is ripe.,The fruit might be ripe.
The vegetables are fresh.,The vegetables could be fresh.
The bread is baked.,The bread might be baked.
The cake is sweet.,The cake may be sweet.
The cookies are crunchy.,The cookies might be crunchy.
The ice cream is cold.,The ice cream could be cold.
The milk is fresh.,The milk might be fresh.
The cheese is sharp.,The cheese may be sharp.
The coffee is hot.,The coffee might be hot.
The tea is strong.,The tea could be strong.
The juice is sweet.,The juice might be sweet.
The soda is fizzy.,The soda may be fizzy.
The water is clear.,The water might be clear.
The air is clean.,The air could be clean.
The sky is clear.,The sky might be clear.
He is a doctor.,He might be a doctor.
She is a teacher.,She could be a teacher.
They are students.,They might be students.
It is a car.,It could be a car.
This is a house.,This may be a house.
That is a tree.,That might be a tree.
The building is tall.,The building may be tall.
The road is long.,The road might be long.
The river is wide.,The river could be wide.
The lake is deep.,The lake might be deep.
The mountain is high.,The mountain may be high.
The field is green.,The field might be green.
The forest is dark.,The forest could be dark.
The desert is hot.,The desert might be hot.
