Sentence1,Sentence2
He went to the store.,She went to the store.
The boy played soccer.,The girl played soccer.
My brother called me.,My sister called me.
He baked a cake.,She baked a cake.
The man drove a car.,The woman drove a car.
He painted a picture.,She painted a picture.
The king ruled his kingdom.,The queen ruled her kingdom.
He wrote a letter.,She wrote a letter.
The uncle visited his nephew.,The aunt visited her niece.
He fixed the car.,She fixed the car.
The doctor examined the patient.,The doctor examined the patient.
The male nurse cared for the patient.,The female nurse cared for the patient.
He is a teacher.,She is a teacher.
The student answered the question.,The student answered the question.
He ate a sandwich.,She ate a sandwich.
The father played with his son.,The mother played with her daughter.
He walked his dog.,She walked her dog.
The fireman rescued the cat.,The firefighter rescued the cat.
He is a pilot.,She is a pilot.
The policeman arrested the suspect.,The policewoman arrested the suspect.
He is a chef.,She is a chef.
The waiter served the food.,The waitress served the food.
He is a lawyer.,She is a lawyer.
The author wrote a novel.,The author wrote a novel.
He is a musician.,She is a musician.
The artist painted a masterpiece.,The artist painted a masterpiece.
He is a scientist.,She is a scientist.
The engineer designed a bridge.,The engineer designed a bridge.
He is a politician.,She is a politician.
The actor played the role.,The actress played the role.
He is a singer.,She is a singer.
The dancer performed on stage.,The dancer performed on stage.
He is a writer.,She is a writer.
The programmer wrote the code.,The programmer wrote the code.
He is a doctor.,She is a doctor.
The nurse took the patient's temperature.,The nurse took the patient's temperature.
He is a student.,She is a student.
The professor lectured the class.,The professor lectured the class.
He is a farmer.,She is a farmer.
The gardener planted flowers.,The gardener planted flowers.
He is a mechanic.,She is a mechanic.
The carpenter built a house.,The carpenter built a house.
He is an accountant.,She is an accountant.
The baker baked bread.,The baker baked bread.
He is a salesman.,She is a saleswoman.
The manager supervised the team.,The manager supervised the team.
He is a builder.,She is a builder.
The architect designed the building.,The architect designed the building.
He is a journalist.,She is a journalist.
The reporter wrote the article.,The reporter wrote the article.
He is a musician.,She is a musician.
The composer wrote a symphony.,The composer wrote a symphony.
He is a tailor.,She is a seamstress.
The athlete won the race.,The athlete won the race.
He is a photographer.,She is a photographer.
The artist captured the moment.,The artist captured the moment.
He is a librarian.,She is a librarian.
The teacher helped the student.,The teacher helped the student.
He is a chef.,She is a chef.
The cook prepared the meal.,The cook prepared the meal.
He is a pilot.,She is a pilot.
The captain flew the plane.,The captain flew the plane.
He is a soldier.,She is a soldier.
The officer led the troops.,The officer led the troops.
He is a judge.,She is a judge.
The lawyer presented the case.,The lawyer presented the case.
He is a salesman.,She is a saleswoman.
The representative met with the client.,The representative met with the client.
He is an artist.,She is an artist.
The painter created a mural.,The painter created a mural.
He is a musician.,She is a musician.
The singer performed a song.,The singer performed a song.
He is a writer.,She is a writer.
The novelist wrote a best-seller.,The novelist wrote a best-seller.
He is a teacher.,She is a teacher.
The instructor taught the course.,The instructor taught the course.
He is a doctor.,She is a doctor.
The physician examined the patient.,The physician examined the patient.
He is a lawyer.,She is a lawyer.
The attorney argued the case.,The attorney argued the case.
He is a scientist.,She is a scientist.
The researcher conducted the experiment.,The researcher conducted the experiment.
He is an engineer.,She is an engineer.
The technician repaired the machine.,The technician repaired the machine.
He is a programmer.,She is a programmer.
The developer created the software.,The developer created the software.
He is a designer.,She is a designer.
The architect drafted the plans.,The architect drafted the plans.
He is a builder.,She is a builder.
The contractor oversaw the project.,The contractor oversaw the project.
He is a mechanic.,She is a mechanic.
The technician fixed the car.,The technician fixed the car.
He is a plumber.,She is a plumber.
The worker repaired the pipes.,The worker repaired the pipes.
He is an electrician.,She is an electrician.
The technician wired the house.,The technician wired the house.
He is a carpenter.,She is a carpenter.
The craftsman built the furniture.,The craftsman built the furniture.
He is a painter.,She is a painter.
The artist painted the room.,The artist painted the room.
He is a gardener.,She is a gardener.
The landscaper planted the trees.,The landscaper planted the trees.
He is a cook.,She is a cook.
The chef prepared the dinner.,The chef prepared the dinner.
He is a baker.,She is a baker.
The pastry chef made the cake.,The pastry chef made the cake.
He is a waiter.,She is a waitress.
The server took the order.,The server took the order.
He is a cashier.,She is a cashier.
The clerk rang up the sale.,The clerk rang up the sale.
He is a police officer.,She is a police officer.
The officer responded to the call.,The officer responded to the call.
He is a firefighter.,She is a firefighter.
The emergency responder battled the blaze.,The emergency responder battled the blaze.
He is a paramedic.,She is a paramedic.
The first responder treated the patient.,The first responder treated the patient.
He is a nurse.,She is a nurse.
The caregiver provided comfort.,The caregiver provided comfort.
He is a doctor.,She is a doctor.
The physician diagnosed the illness.,The physician diagnosed the illness.
He is a teacher.,She is a teacher.
The educator inspired the students.,The educator inspired the students.
The chairman presided over the meeting.,The chairwoman presided over the meeting.
My uncle gave me a gift.,My aunt gave me a gift.
