Sentence1,Sentence2
"""The food was delicious."""," ""The food was not delicious."""
"""She is a talented artist."""," ""She is not a talented artist."""
"""He loves his job."""," ""He hates his job."""
"""The movie was exciting."""," ""The movie was boring."""
"""I'm feeling happy today."""," ""I'm feeling unhappy today."""
"""The weather is wonderful."""," ""The weather is terrible."""
"""This project is successful."""," ""This project is unsuccessful."""
"""The children are well-behaved."""," ""The children are badly-behaved."""
"""The team won the game."""," ""The team lost the game."""
"""She passed the exam."""," ""She failed the exam."""
"""He agreed to the proposal."""," ""He disagreed to the proposal."""
"""The car is reliable."""," ""The car is unreliable."""
"""They are friendly people."""," ""They are unfriendly people."""
"""The flowers are beautiful."""," ""The flowers are ugly."""
"""This book is interesting."""," ""This book is uninteresting."""
"""The music is calming."""," ""The music is irritating."""
"""He is a kind person."""," ""He is a cruel person."""
"""She is optimistic about the future."""," ""She is pessimistic about the future."""
"""The dog is playful."""," ""The dog is lethargic."""
"""The cat is affectionate."""," ""The cat is aloof."""
"""The coffee is strong."""," ""The coffee is weak."""
"""The sun is shining brightly."""," ""The sun is hidden behind clouds."""
"""The story is captivating."""," ""The story is dull."""
"""The cake is moist."""," ""The cake is dry."""
"""He is a generous giver."""," ""He is a stingy giver."""
"""She is a diligent worker."""," ""She is a lazy worker."""
"""The trip was amazing."""," ""The trip was dreadful."""
"""The concert was superb."""," ""The concert was awful."""
"""I like ice cream."""," ""I dislike ice cream."""
"""He appreciates her help."""," ""He doesn't appreciate her help."""
"""She supports the cause."""," ""She opposes the cause."""
"""They believe in justice."""," ""They don't believe in justice."""
"""The company is profitable."""," ""The company is unprofitable."""
"""He is a skilled surgeon."""," ""He is an unskilled surgeon."""
"""The painting is stunning."""," ""The painting is hideous."""
"""The performance was excellent."""," ""The performance was terrible."""
"""The restaurant is popular."""," ""The restaurant is unpopular."""
"""She is a great cook."""," ""She is a terrible cook."""
"""He is a good listener."""," ""He is a bad listener."""
"""The view is spectacular."""," ""The view is disappointing."""
"""The service was exceptional."""," ""The service was poor."""
"""The product is high-quality."""," ""The product is low-quality."""
"""The weather is pleasant."""," ""The weather is unpleasant."""
"""He is a honest man."""," ""He is a dishonest man."""
"""She is intelligent."""," ""She is unintelligent."""
"""The solution is effective."""," ""The solution is ineffective."""
"""The design is elegant."""," ""The design is clumsy."""
"""The presentation was clear."""," ""The presentation was unclear."""
"""The explanation was simple."""," ""The explanation was complicated."""
"""The instructions are easy to follow."""," ""The instructions are difficult to follow."""
"""The meeting was productive."""," ""The meeting was unproductive."""
"""The outcome was positive."""," ""The outcome was negative."""
"""The feedback was helpful."""," ""The feedback was unhelpful."""
"""The response was quick."""," ""The response was slow."""
"""The progress is significant."""," ""The progress is insignificant."""
"""The result is favorable."""," ""The result is unfavorable."""
"""The impact is substantial."""," ""The impact is negligible."""
"""The effect is noticeable."""," ""The effect is unnoticeable."""
"""The improvement is remarkable."""," ""The improvement is unremarkable."""
"""The difference is considerable."""," ""The difference is inconsiderable."""
"""The change is drastic."""," ""The change is insignificant."""
"""The variation is substantial."""," ""The variation is negligible."""
"""The fluctuation is significant."""," ""The fluctuation is insignificant."""
