Sentence1,Sentence2
The cat is on the mat,The cat is under the mat
The vase is beside the flowers,The vase is behind the flowers
The car is in the garage,The car is outside the garage
The bird is above the tree,The bird is below the tree
The apple is near the orange,The apple is far from the orange
The keys are on the desk,The keys are in the desk drawer
The lamp is next to the bed,The lamp is across from the bed
The picture is on the wall,The picture is leaning against the wall
The dog is in the house,The dog is outside the house
The book is above the shelf,The book is below the shelf
The pen is inside the cup,The pen is beside the cup
The spoon is in the bowl,The spoon is next to the bowl
The chair is near the table,The chair is far from the table
The clock is on the mantelpiece,The clock is under the mantelpiece
The plant is by the window,The plant is away from the window
The phone is on the sofa,The phone is under the sofa
The shoes are under the bed,The shoes are on the bed
The bag is beside the door,The bag is in front of the door
The hat is on the hook,The hat is near the hook
The remote is on the coffee table,The remote is under the coffee table
The bowl is on the counter,The bowl is in the cupboard
The mug is near the teapot,The mug is far from the teapot
The plate is on the table,The plate is under the table
The knife is beside the fork,The knife is across from the fork
The fork is on the table,The fork is in the drawer
The glass is on the coaster,The glass is without a coaster
The laptop is on the desk,The laptop is in the bag
The tablet is on the sofa,The tablet is in the drawer
The camera is in the bag,The camera is on the table
The headphones are on the table,The headphones are in the drawer
The watch is on my wrist,The watch is in my pocket
The keys are in my pocket,The keys are on the table
The wallet is in my bag,The wallet is on the table
The phone is in my hand,The phone is on the table
The book is on the shelf,The book is under the shelf
The lamp is by the chair,The lamp is across the room from the chair
The painting is above the fireplace,The painting is to the side of the fireplace
The mirror is on the wall,The mirror is on the floor
The rug is on the floor,The rug is in the closet
The flowers are in the vase,The flowers are on the table
The candle is on the table,The candle is on the floor
The frame is on the desk,The frame is in the drawer
The toys are in the box,The toys are scattered around
The coat is on the rack,The coat is on the chair
The shoes are by the door,The shoes are in the closet
The umbrella is in the stand,The umbrella is on the floor
The scarf is around my neck,The scarf is in my bag
The gloves are in my pocket,The gloves are on the table
The jewelry is in the box,The jewelry is on the dresser
The socks are in the drawer,The socks are on the floor
The belt is in the drawer,The belt is on the bed
The sweater is on the chair,The sweater is in the closet
The pants are on the floor,The pants are in the hamper
The shirt is on the bed,The shirt is in the drawer
The dress is on the hanger,The dress is on the floor
The jacket is on the coat rack,The jacket is on the chair
The bag is on my shoulder,The bag is on the floor
The purse is on my arm,The purse is on the table
The backpack is on my back,The backpack is on the floor
The suitcase is in the car,The suitcase is beside the car
The box is on the shelf,The box is under the shelf
The container is on the counter,The container is inside the cupboard
The container is in the cupboard,The container is on the counter
The bird is on the branch,The bird is near the branch
The plane is above the clouds,The plane is below the clouds
The sun is over the horizon,The sun is beneath the horizon
The moon is in the sky,The moon is behind the clouds
The star is amongst the constellations,The star is beside the constellations
The fish is in the tank,The fish is outside the tank
The frog is near the pond,The frog is inside the pond
The turtle is on the log,The turtle is under the log
The snake is in the grass,The snake is above the grass
The squirrel is up the tree,The squirrel is down the tree
The rabbit is beside the burrow,The rabbit is inside the burrow
The deer is in the forest,The deer is at the edge of the forest
The lion is near the watering hole,The lion is far from the watering hole
The elephant is amongst the trees,The lion is outside the trees
The monkey is in the jungle,The monkey is next to the jungle
The zebra is among the herd,The zebra is away from the herd
The giraffe is by the watering hole,The giraffe is near the watering hole
The hippo is in the river,The hippo is near the river
The rhino is in the mud,The rhino is near the mud
The tiger is in the tall grass,The tiger is near the tall grass
The bear is near the cave,The bear is inside the cave
The wolf is in the pack,The wolf is near the pack
The fox is near the den,The fox is outside the den
The owl is on the branch,The owl is under the branch
The eagle is above the mountains,The eagle is beside the mountains
The hawk is over the field,The eagle is near the field
The kite is in the sky,The kite is below the clouds
The balloon is above the houses,The balloon is near the houses
The cloud is over the mountain,The cloud is near the mountain
The rain is over the city,The rain is around the city
The snow is on the ground,The snow is in the air
The ice is on the lake,The ice is near the lake
The car is in the parking lot,The car is outside the parking lot
The bus is at the stop,The bus is away from the stop
The train is on the tracks,The train is beside the tracks
The boat is on the water,The boat is near the shore
The submarine is under the sea,The submarine is above the sea
The airplane is above the airport,The airplane is near the airport
The helicopter is over the city,The helicopter is near the city
The rocket is in space,The rocket is approaching the earth
The satellite is orbiting the earth,The satellite is above the earth
The comet is near the sun,The comet is far from the sun
The asteroid is in space,The asteroid is near the earth
The planet is in the solar system,The planet is far from the sun
The galaxy is in space,The galaxy is far from our galaxy
The sun is in the sky,The sun is behind a cloud
The moon is in the night sky,The moon is obscured by clouds
The stars are in the night sky,The stars are behind the clouds
The planets are in the solar system,The planets are outside our solar system
The comets are in the solar system,The comets are outside our solar system
The meteor is in space,The meteor is entering the atmosphere
The astronaut is in space,The astronaut is near the space station
The space station is in orbit,The space station is near the earth
The rocket is launching,The rocket is on the launchpad
The spaceship is traveling through space,The spaceship is near a planet
The shuttle is landing,The shuttle is above the runway
The satellite is transmitting data,The satellite is receiving data
The telescope is observing space,The telescope is pointed elsewhere
The observatory is studying stars,The observatory is observing planets
The astronomer is studying the cosmos,The astronomer is observing a specific object
The chair is against the wall,The chair is away from the wall.
The lamp is on the table,The lamp is beside the table.
The books are on the shelf,The books are inside the shelf (if it's open).
The vase is near the window,The vase is far from the window.
The picture hangs above the fireplace,The picture hangs beside the fireplace.
The clock is on the mantelpiece,The clock is under the mantelpiece.
The cat sleeps on the rug,The cat sleeps under the rug.
The dog lies near the fire,The dog lies far from the fire.
The bird sits on the branch,The bird sits near the branch.
The squirrel climbs up the tree,The squirrel climbs down the tree.
The rabbit hops across the field,The rabbit hops through the field.
The deer stands in the meadow,The deer stands at the edge of the meadow.
The lion rests near the watering hole,The lion rests far from the watering hole.
The elephant walks through the forest,The elephant walks along the edge of the forest.
The monkey swings among the trees,The monkey swings from a single tree.
The zebra grazes in the plains,The zebra grazes near the plains.
The giraffe reaches up to the branches,The giraffe reaches down to the ground.
The hippopotamus wallows in the river,The hippopotamus wallows beside the river.
The rhinoceros grazes near the watering hole,The rhinoceros grazes far from the watering hole.
The tiger stalks through the tall grass,The tiger stalks along the edge of the tall grass.
The bear ambles near the cave,The bear ambles inside the cave.
The wolf howls near the pack,The wolf howls far from the pack.
The fox sneaks around the den,The fox sneaks into the den.
The owl perches on a branch,The owl perches beside a branch.
The eagle soars above the mountains,The eagle soars near the mountains.
The hawk circles over the field,The hawk circles near the field.
The kite flies high in the sky,The kite flies low in the sky.
The balloon floats above the houses,The balloon floats near the houses.
The cloud drifts over the mountain,The cloud drifts around the mountain.
The rain falls over the city,The rain falls around the city.
The snow settles on the ground,The snow settles near the ground.
The ice forms on the lake,The ice forms near the lake.
The car parks in the garage,The car parks outside the garage.
The bus stops at the station,The bus stops near the station.
The train travels along the tracks,The train travels near the tracks.
The boat sails on the ocean,The boat sails near the shore.
The submarine dives beneath the waves,The submarine surfaces above the waves.
The airplane takes off from the runway,The airplane taxis on the runway.
The helicopter hovers over the city,The helicopter hovers near the city.
The rocket blasts off into space,The rocket sits on the launchpad.
The satellite orbits the Earth,The satellite approaches the Earth.
The comet streaks across the sky,The comet approaches the sun.
The asteroid approaches the Earth,The asteroid misses the Earth.
The planet revolves around the sun,The planet is far from the sun.
The galaxy spins in space,The galaxy is near another galaxy.
The sun shines on the Earth,The sun is behind a cloud.
The moon illuminates the night,The moon is behind clouds.
The stars twinkle in the night sky,The stars are hidden by clouds.
The planets align in the solar system,The planets are scattered throughout the solar system.
The comets stream through the sky,The comets are far from the solar system.
The meteor blazes across the sky,The meteor falls to the Earth.
The astronaut floats in space,The astronaut is inside the spaceship.
The space station orbits the Earth,The space station is far from the Earth.
The rocket launches into space,The rocket remains on the launchpad.
The spaceship travels through space,The spaceship is near a nebula.
The shuttle lands on the runway,The shuttle is in orbit.
The satellite sends a signal,The satellite receives a signal.
The telescope observes a star,The telescope observes a planet.
The observatory studies the universe,The observatory is undergoing maintenance.
The astronomer researches cosmology,The astronomer observes a specific celestial object.
The constellation is in the night sky,The constellation is partially obscured by clouds.
The pen is on the desk,The pen is under the desk.
The paper is on the table,The paper is beside the table.
The book is near the lamp,The book is far from the lamp.
The phone is next to the computer,The phone is on top of the computer.
The keys are in the bowl,The keys are outside the bowl.
The remote is on the sofa,The remote is under the sofa cushions.
The mug is by the keyboard,The mug is behind the keyboard.
The plant is in the corner,The plant is near the corner.
The chair is against the wall,The chair is away from the wall.
The picture is above the sofa,The picture is to the side of the sofa.
The clock is on the shelf,The clock is below the shelf.
The lamp is beside the bed,The lamp is across from the bed.
The shoes are under the chair,The shoes are behind the chair.
The coat is on the hook,The coat is near the hook.
The bag is next to the door,The bag is in front of the door.
The hat is on the table,The hat is under the table.
The scarf is around the neck,The scarf is in the drawer.
The gloves are in the pocket,The gloves are on the table.
The jewelry is in the box,The jewelry is near the box.
The socks are in the drawer,The socks are on the floor.
The belt is in the closet,The belt is on the chair.
The sweater is on the bed,The sweater is in the dresser.
The pants are in the closet,The pants are on the floor.
The shirt is in the drawer,The shirt is on the bed.
The dress is in the closet,The dress is on the hanger.
The jacket is on the rack,The jacket is on the floor.
The bag is on the shoulder,The bag is in the car.
The purse is on the arm,The purse is on the table.
The backpack is on the back,The backpack is at the feet.
The suitcase is in the car,The suitcase is on the roof of the car.
The box is on the shelf,The box is behind the shelf.
The container is in the cupboard,The container is next to the cupboard.
The bowl is in the cabinet,The bowl is on the counter.
The mug is in the cupboard,The bowl is on the shelf.
The plate is on the table,The plate is under the table.
The knife is beside the fork,The knife is on top of the fork.
The fork is in the drawer,The fork is on the table.
The glass is on the coaster,The glass is in the sink.
The laptop is on the desk,The laptop is in the bag.
The tablet is on the sofa,The tablet is in the bag.
The camera is in the bag,The camera is on the shelf.
The headphones are in the drawer,The headphones are on the desk.
The watch is on the wrist,The watch is in the box.
The keys are in the pocket,The keys are on the hook.
The wallet is in the purse,The wallet is on the table.
The phone is in the pocket,The phone is on the desk.
The book is on the nightstand,The book is under the nightstand.
The lamp is on the nightstand,The lamp is beside the bed.
The alarm clock is on the nightstand,The alarm clock is under the nightstand.
The glasses are on the nightstand,The glasses are on the bed.
The remote control is on the nightstand,The remote control is on the floor.
The tissue box is on the nightstand,The tissue box is under the nightstand.
The water bottle is on the nightstand,The water bottle is on the floor.
The phone charger is on the nightstand,The phone charger is under the bed.
The reading lamp is on the nightstand,The reading lamp is on the floor.
The picture frame is on the nightstand,The picture frame is on the dresser.
The candle is on the nightstand,The candle is on the floor.
The small vase is on the nightstand,The small vase is under the nightstand.
The jewelry box is on the nightstand,The jewelry box is on the dresser.
The bookends are on the nightstand,The bookends are on the floor.
The notepad is on the nightstand,The notepad is under the nightstand.
The pen is on the nightstand,The pen is on the floor.
The apple is on the plate,The apple is beside the plate.
The orange is near the banana,The orange is far from the banana.
The grapes are in the bowl,The grapes are next to the bowl.
The bread is on the counter,The bread is in the breadbox.
The milk is in the refrigerator,The milk is on the counter.
The cheese is on the plate,The cheese is in the refrigerator.
The butter is in the fridge,The butter is on the table.
The eggs are in the carton,The eggs are on the counter.
The juice is in the glass,The juice is on the table.
The cereal is in the bowl,The cereal is on the table.
The coffee is in the cup,The coffee is spilled on the table.
The tea is in the pot,The tea is in a mug.
The sugar is in the bowl,The sugar is on the table.
The salt is in the shaker,The salt is spilled on the table.
The pepper is in the grinder,The pepper is on the table.
The ketchup is in the bottle,The ketchup is on the plate.
The mustard is in the jar,The mustard is on the table.
The mayonnaise is in the jar,The mayonnaise is on the sandwich.
The lettuce is in the bag,The lettuce is on the counter.
The tomato is in the bag,The tomato is on the sandwich.
The onion is in the bag,The onion is on the cutting board.
The carrot is in the bag,The carrot is on the counter.
The potato is in the bag,The potato is in the pot.
The broccoli is in the bag,The broccoli is on the plate.
The cauliflower is in the bag,The cauliflower is on the plate.
The peas are in the bag,The peas are on the plate.
The corn is in the bag,The corn is on the cob.
The beans are in the bag,The beans are in the pot.
The rice is in the bag,The rice is in the pot.
The pasta is in the bag,The pasta is in the pot.
The sauce is in the jar,The sauce is on the pasta.
The cheese is in the bag,The cheese is on the pizza.
The pepperoni is in the bag,The pepperoni is on the pizza.
The mushrooms are in the bag,The mushrooms are on the pizza.
The olives are in the bag,The olives are on the pizza.
The peppers are in the bag,The peppers are on the pizza.
The onions are in the bag,The onions are on the pizza.
The spinach is in the bag,The spinach is on the pizza.
The sausage is in the bag,The sausage is on the pizza.
The bacon is in the bag,The bacon is on the pizza.
The ham is in the bag,The ham is on the sandwich.
The turkey is in the bag,The turkey is on the sandwich.
The roast beef is in the bag,The roast beef is on the sandwich.
The chicken is in the bag,The chicken is on the plate.
The fish is in the bag,The fish is on the plate.
The steak is in the bag,The steak is on the grill.
The pork chop is in the bag,The pork chop is on the plate.
The lamb chop is in the bag,The lamb chop is on the plate.
The shrimp is in the bag,The shrimp is on the plate.
The lobster is in the bag,The lobster is on the plate.
The crab is in the bag,The crab is on the plate.
The clams are in the bag,The clams are in the pot.
The mussels are in the bag,The mussels are in the pot.
The scallops are in the bag,The scallops are on the plate.
The tuna is in the can,The tuna is on the sandwich.
The salmon is in the can,The salmon is on the plate.
The bird is in the tree,The bird is on the tree.
The cat is on the roof,The cat is near the roof.
The dog is under the table,The dog is beside the table.
The mouse is behind the wall,The mouse is in front of the wall.
The rabbit is in the hole,The rabbit is near the hole.
The squirrel is up the tree,The squirrel is down the tree.
The deer is in the forest,The deer is at the edge of the forest.
The lion is near the watering hole,The lion is far from the watering hole.
The elephant is in the savannah,The elephant is at the edge of the savannah.
The monkey is in the jungle,The monkey is at the edge of the jungle.
The zebra is in the herd,The zebra is near the herd.
The giraffe is near the acacia tree,The giraffe is far from the acacia tree.
The hippopotamus is in the river,The hippopotamus is near the riverbank.
The rhinoceros is in the mud,The rhinoceros is near the watering hole.
The tiger is in the tall grass,The tiger is near the tall grass.
The bear is in the cave,The bear is near the cave entrance.
The wolf is in the pack,The wolf is near the pack.
The fox is in the den,The fox is near the den.
The owl is on the branch,The owl is under the branch.
The eagle is above the mountains,The eagle is near the mountains.
The hawk is over the field,The hawk is near the field.
The kite is in the sky,The kite is near the clouds.
The balloon is above the houses,The balloon is near the houses.
The cloud is over the mountain,The cloud is near the mountain.
The rain is over the city,The rain is around the city.
The snow is on the ground,The snow is in the air.
The ice is on the lake,The ice is near the lake.
The car is in the garage,The car is outside the garage.
The bus is at the stop,The bus is near the stop.
The train is on the tracks,The train is near the tracks.
The boat is on the water,The boat is near the shore.
The submarine is under the sea,The submarine is near the surface.
The airplane is above the airport,The airplane is near the airport.
The helicopter is over the city,The helicopter is near the city.
The rocket is in space,The rocket is near the Earth.
The satellite is orbiting the Earth,The satellite is above the Earth.
The comet is near the sun,The comet is far from the sun.
The asteroid is in space,The asteroid is near the Earth.
The planet is in the solar system,The planet is far from the sun.
The galaxy is in space,The galaxy is near another galaxy.
The sun is in the sky,The sun is behind a cloud.
The moon is in the night sky,The moon is behind clouds.
The stars are in the night sky,The stars are behind clouds.
The planets are in the solar system,The planets are scattered throughout the solar system.
The comets are in the solar system,The comets are outside our solar system.
The meteor is in space,The meteor is entering the atmosphere.
The astronaut is in space,The astronaut is near the space station.
The space station is in orbit,The space station is near the Earth.
The rocket is launching,The rocket is on the launchpad.
The spaceship is traveling through space,The spaceship is near a planet.
The shuttle is landing,The shuttle is above the runway.
The satellite is transmitting data,The satellite is receiving data.
The telescope is observing space,The telescope is pointed elsewhere.
The observatory is studying stars,The observatory is observing planets.
The astronomer is studying the cosmos,The astronomer is observing a specific object.
The flower is in the vase,The flower is beside the vase.
The vase is on the table,The vase is under the table.
The lamp is on the desk,The lamp is beside the desk.
The chair is near the table,The chair is far from the table.
The book is on the shelf,The book is under the shelf.
The pen is in the cup,The pen is next to the cup.
The picture is on the wall,The picture is leaning against the wall.
The clock is on the mantelpiece,The clock is under the mantelpiece.
The plant is by the window,The plant is away from the window.
The phone is on the sofa,The phone is under the sofa.
The keys are on the table, The keys are under the table.
The phone is in my pocket, The phone is on my desk.
The wallet is in my bag, The wallet is on the table.
The book is on the shelf, The book is under the shelf.
The lamp is next to the bed, The lamp is on the bed.
The chair is near the fireplace, The chair is in front of the fireplace.
The picture is above the mantelpiece, The picture is beside the mantelpiece.
The clock is on the wall, The clock is on the table.
The plant is by the window, The plant is in the window.
The vase is on the table, The vase is under the table.
The flowers are in the vase, The flowers are on the table.
