Sentence1,Sentence2
The dog bit the man.,The man was bitten by the dog.
The bird sang a song.,A song was sung by the bird.
The chef prepared the meal.,The meal was prepared by the chef.
The artist painted the portrait.,The portrait was painted by the artist.
The teacher graded the papers.,The papers were graded by the teacher.
The student wrote the essay.,The essay was written by the student.
The mechanic fixed the car.,The car was fixed by the mechanic.
The doctor examined the patient.,The patient was examined by the doctor.
The baker baked the bread.,The bread was baked by the baker.
The carpenter built the house.,The house was built by the carpenter.
The farmer planted the seeds.,The seeds were planted by the farmer.
The author wrote the book.,The book was written by the author.
The composer wrote the symphony.,The symphony was composed by the composer.
The singer sang the song.,The song was sung by the singer.
The dancer performed the routine.,The routine was performed by the dancer.
The musician played the instrument.,The instrument was played by the musician.
The team won the game.,The game was won by the team.
The player scored the goal.,The goal was scored by the player.
The company launched the product.,The product was launched by the company.
The scientist discovered the cure.,The cure was discovered by the scientist.
The inventor created the device.,The device was created by the inventor.
The programmer wrote the code.,The code was written by the programmer.
The engineer designed the bridge.,The bridge was designed by the engineer.
The architect designed the building.,The building was designed by the architect.
The lawyer argued the case.,The case was argued by the lawyer.
The judge ruled on the case.,The case was ruled on by the judge.
The jury delivered the verdict.,The verdict was delivered by the jury.
The police officer arrested the suspect.,The suspect was arrested by the police officer.
The thief stole the money.,The money was stolen by the thief.
The cat knocked over the vase.,The vase was knocked over by the cat.
The dog chased the squirrel.,The squirrel was chased by the dog.
The rain ruined the picnic.,The picnic was ruined by the rain.
The sun melted the snow.,The snow was melted by the sun.
The wind blew down the tree.,The tree was blown down by the wind.
The fire destroyed the house.,The house was destroyed by the fire.
The earthquake caused the damage.,The damage was caused by the earthquake.
The storm flooded the streets.,The streets were flooded by the storm.
The snow covered the ground.,The ground was covered by the snow.
The fog obscured the view.,The view was obscured by the fog.
The clouds hid the sun.,The sun was hidden by the clouds.
The stars twinkled in the night sky.,The night sky was twinkled in by the stars.
The moon illuminated the landscape.,The landscape was illuminated by the moon.
The river flowed to the sea.,The sea was flowed to by the river.
The birds flew south for the winter.,The south was flown to by the birds for the winter.
The leaves fell from the trees.,The trees were fallen from by the leaves.
The flowers bloomed in the spring.,The spring was bloomed in by the flowers.
The fruit ripened on the branches.,The branches were ripened on by the fruit.
The vegetables grew in the garden.,The garden was grown in by the vegetables.
The farmer harvested the crops.,The crops were harvested by the farmer.
The chef cooked the dinner.,The dinner was cooked by the chef.
The family ate the dinner.,The dinner was eaten by the family.
The children played in the park.,The park was played in by the children.
The dog fetched the ball.,The ball was fetched by the dog.
The cat sat on the mat.,The mat was sat on by the cat.
The bird built a nest.,A nest was built by the bird.
The bee made honey.,Honey was made by the bee.
The spider spun a web.,A web was spun by the spider.
The ant carried a crumb.,A crumb was carried by the ant.
The worm ate a leaf.,A leaf was eaten by the worm.
The fish swam in the lake.,The lake was swum in by the fish.
The frog leaped into the pond.,The pond was leaped into by the frog.
The turtle crawled across the ground.,The ground was crawled across by the turtle.
The snake slithered through the grass.,The grass was slithered through by the snake.
The lizard sunned itself on a rock.,A rock was sunned on by the lizard.
The mouse scurried into its hole.,Its hole was scurried into by the mouse.
The rat gnawed on the cheese.,The cheese was gnawed on by the rat.
The owl hunted for mice.,Mice were hunted for by the owl.
The fox chased the rabbit.,The rabbit was chased by the fox.
The wolf howled at the moon.,The moon was howled at by the wolf.
The bear hibernated in its cave.,Its cave was hibernated in by the bear.
The lion roared in the jungle.,The jungle was roared in by the lion.
The tiger stalked its prey.,Its prey was stalked by the tiger.
The elephant trumpeted loudly.,Loudly was trumpeted by the elephant.
The giraffe reached for the leaves.,The leaves were reached for by the giraffe.
The zebra ran across the savanna.,The savanna was run across by the zebra.
The monkey swung from the trees.,The trees were swung from by the monkey.
The parrot squawked loudly.,Loudly was squawked by the parrot.
The penguin waddled on the ice.,The ice was waddled on by the penguin.
The whale swam in the ocean.,The ocean was swum in by the whale.
The dolphin leaped out of the water.,The water was leaped out of by the dolphin.
The shark hunted for fish.,Fish were hunted for by the shark.
The octopus hid in its den.,Its den was hidden in by the octopus.
The crab scuttled across the beach.,The beach was scuttled across by the crab.
The starfish clung to a rock.,A rock was clung to by the starfish.
The seagull flew over the water.,The water was flown over by the seagull.
The eagle soared through the sky.,The sky was soared through by the eagle.
The hawk hunted for rabbits.,Rabbits were hunted for by the hawk.
