Sentence1,Sentence2
The dog chases the ball.,The dog chased the ball.
She sings beautifully.,She sang beautifully.
He walks to school.,He walked to school.
They eat pizza every Friday.,They ate pizza every Friday.
I write a letter.,I wrote a letter.
The sun shines brightly.,The sun shone brightly.
Birds fly south for winter.,Birds flew south for winter.
The cat sleeps on the mat.,The cat slept on the mat.
He plays the guitar.,He played the guitar.
We go to the park.,We went to the park.
The rain falls softly.,The rain fell softly.
She dances gracefully.,She danced gracefully.
He drives a red car.,He drove a red car.
They laugh heartily.,They laughed heartily.
The flowers bloom in spring.,The flowers bloomed in spring.
I study hard for exams.,I studied hard for exams.
She cooks delicious meals.,She cooked delicious meals.
He paints beautiful pictures.,He painted beautiful pictures.
They swim in the ocean.,They swam in the ocean.
The children play outside.,The children played outside.
I read a good book.,I read a good book yesterday.
She bakes a cake.,She baked a cake.
He fixes the broken chair.,He fixed the broken chair.
They clean the house.,They cleaned the house.
I work from home.,I worked from home.
She visits her grandmother.,She visited her grandmother.
He helps his friend.,He helped his friend.
They learn a new language.,They learned a new language.
I travel to Europe.,I travelled to Europe.
She enjoys the concert.,She enjoyed the concert.
He finishes the project.,He finished the project.
They celebrate their anniversary.,They celebrated their anniversary.
I run a marathon.,I ran a marathon.
She loves chocolate.,She loved chocolate.
He understands the problem.,He understood the problem.
They believe in magic.,They believed in magic.
I see a beautiful sunset.,I saw a beautiful sunset.
She feels happy.,She felt happy.
He knows the answer.,He knew the answer.
They make a delicious soup.,They made a delicious soup.
I hear a bird singing.,I heard a bird singing.
She smells the roses.,She smelled the roses.
He tastes the wine.,He tasted the wine.
They touch the soft fabric.,They touched the soft fabric.
I become a doctor.,I became a doctor.
She gets a new job.,She got a new job.
He gives a speech.,He gave a speech.
They go to the movies.,They went to the movies.
I have a dog.,I had a dog.
She has a car.,She had a car.
He has a job.,He had a job.
They have a house.,They had a house.
I will go to the beach.,I went to the beach.
She will bake a pie.,She baked a pie.
He will visit his parents.,He visited his parents.
They will travel to Italy.,They travelled to Italy.
I will eat dinner.,I ate dinner.
She will sing a song.,She sang a song.
He will play football.,He played football.
They will watch a movie.,They watched a movie.
I will study tonight.,I studied last night.
She will work tomorrow.,She worked today.
He will finish his work.,He finished his work.
They will celebrate soon.,They celebrated recently.
I am writing a novel.,I wrote a novel.
She is cooking dinner.,She cooked dinner.
He is reading a book.,He read a book.
They are watching TV.,They watched TV.
I am going to the store.,I went to the store.
She is playing the piano.,She played the piano.
He is driving a car.,He drove a car.
They are talking to each other.,They talked to each other.
I am feeling tired.,I felt tired.
She is thinking about it.,She thought about it.
He is understanding the lesson.,He understood the lesson.
They are believing in themselves.,They believed in themselves.
I am seeing stars.,I saw stars.
She is hearing music.,She heard music.
He is smelling coffee.,He smelled coffee.
They are tasting the food.,They tasted the food.
I am becoming stronger.,I became stronger.
She is getting better.,She got better.
He is giving a present.,He gave a present.
They are going home.,They went home.
The bird builds its nest.,The bird built its nest.
The chef prepares a delicious meal.,The chef prepared a delicious meal.
The artist paints a masterpiece.,The artist painted a masterpiece.
The musician plays a beautiful melody.,The musician played a beautiful melody.
The dancer performs gracefully.,The dancer performed gracefully.
The athlete runs a marathon.,The athlete ran a marathon.
The student studies diligently.,The student studied diligently.
The teacher explains the lesson.,The teacher explained the lesson.
The doctor examines the patient.,The doctor examined the patient.
The lawyer argues the case.,The lawyer argued the case.
The engineer designs a bridge.,The engineer designed a bridge.
The writer writes a novel.,The writer wrote a novel.
The programmer codes a program.,The programmer coded a program.
The scientist conducts an experiment.,The scientist conducted an experiment.
The farmer harvests the crops.,The farmer harvested the crops.
The gardener tends the garden.,The gardener tended the garden.
The baker bakes bread.,The baker baked bread.
The tailor sews clothes.,The tailor sewed clothes.
The carpenter builds a house.,The carpenter built a house.
The mechanic repairs the car.,The mechanic repaired the car.
The plumber fixes the pipes.,The plumber fixed the pipes.
The electrician wires the house.,The electrician wired the house.
The firefighter extinguishes the fire.,The firefighter extinguished the fire.
The police officer investigates the crime.,The police officer investigated the crime.
The judge presides over the trial.,The judge presided over the trial.
The jury deliberates the verdict.,The jury deliberated the verdict.
The witness testifies in court.,The witness testified in court.
The defendant pleads not guilty.,The defendant pleaded not guilty.
The prosecutor presents evidence.,The prosecutor presented evidence.
The jury convicts the defendant.,The jury convicted the defendant.
The judge sentences the defendant.,The judge sentenced the defendant.
Tomorrow, I will visit my family.,Yesterday, I visited my family.
Next week, she will travel to France.,Last week, she traveled to France.
Soon, he will graduate college.,Last year, he graduated college.
In the future, we will colonize Mars.,In the past, we explored the moon.
Later, they will attend the concert.,Earlier, they attended the concert.
This evening, I will watch a movie.,Yesterday evening, I watched a movie.
Tonight, she will read a book.,Last night, she read a book.
This weekend, he will go camping.,Last weekend, he went camping.
Next month, we will have a vacation.,Last month, we had a vacation.
Next year, she will buy a new car.,Last year, she bought a new car.
The sun sets in the west.,The sun set in the west.
The moon rises at night.,The moon rose at night.
The stars twinkle in the sky.,The stars twinkled in the sky.
The river flows to the sea.,The river flowed to the sea.
The wind blows strongly.,The wind blew strongly.
The rain pours down.,The rain poured down.
The snow falls softly.,The snow fell softly.
The leaves change color.,The leaves changed color.
The flowers wilt and die.,The flowers wilted and died.
The birds sing sweetly.,The birds sang sweetly.
The animals hibernate in winter.,The animals hibernated in winter.
The plants grow tall.,The plants grew tall.
The trees shed their leaves.,The trees shed their leaves in the fall.
I will bake cookies tomorrow.,I baked cookies yesterday.
She will paint a mural next week.,She painted a mural last week.
He will write a song this evening.,He wrote a song last evening.
We will travel abroad next summer.,We traveled abroad last summer.
They will build a sandcastle on the beach tomorrow.,They built a sandcastle on the beach yesterday.
The cat will chase a mouse tomorrow.,The cat chased a mouse yesterday.
The dog will bark loudly tonight.,The dog barked loudly last night.
The bird will sing a beautiful song this morning.,The bird sang a beautiful song this morning.
I will finish my project by Friday.,I finished my project last Friday.
She will complete her assignment by the end of the week.,She completed her assignment last week.
He will submit his application next Monday.,He submitted his application last Monday.
We will celebrate our anniversary next month.,We celebrated our anniversary last month.
They will host a party next weekend.,They hosted a party last weekend.
The train arrives at the station.,The train arrived at the station.
The bus departs from the terminal.,The bus departed from the terminal.
The plane takes off from the airport.,The plane took off from the airport.
The ship sails across the ocean.,The ship sailed across the ocean.
The car drives down the road.,The car drove down the road.
The bicycle rides along the path.,The bicycle rode along the path.
The horse gallops across the field.,The horse galloped across the field.
The cow grazes in the pasture.,The cow grazed in the pasture.
The sheep bleats in the meadow.,The sheep bleated in the meadow.
The goat climbs the mountain.,The goat climbed the mountain.
The children laugh joyfully.,The children laughed joyfully.
The baby cries loudly.,The baby cried loudly.
The dog barks at the mailman.,The dog barked at the mailman.
The cat meows softly.,The cat meowed softly.
The bird chirps merrily.,The bird chirped merrily.
The frog leaps into the pond.,The frog leaped into the pond.
The fish swims in the aquarium.,The fish swam in the aquarium.
The turtle crawls slowly.,The turtle crawled slowly.
The snake slithers through the grass.,The snake slithered through the grass.
The spider spins a web.,The spider spun a web.
The bee flies from flower to flower.,The bee flew from flower to flower.
The ant marches in a line.,The ant marched in a line.
The grasshopper hops in the field.,The grasshopper hopped in the field.
The butterfly flits through the air.,The butterfly flitted through the air.
The eagle soars high above.,The eagle soared high above.
The owl hoots in the night.,The owl hooted in the night.
The wolf howls at the moon.,The wolf howled at the moon.
The fox runs through the forest.,The fox ran through the forest.
The deer grazes peacefully.,The deer grazed peacefully.
The bear hibernates in its cave.,The bear hibernated in its cave.
I will complete my homework soon.,I completed my homework yesterday.
She will finish her work by tomorrow.,She finished her work yesterday.
He will call his mother later.,He called his mother earlier.
We will leave for the airport soon.,We left for the airport earlier.
They will arrive at the party shortly.,They arrived at the party earlier.
My friend will visit me next week.,My friend visited me last week.
The carpenter will build a table next week.,The carpenter built a table last week.
The mechanic will fix the car tomorrow.,The mechanic fixed the car yesterday.
The plumber will repair the pipes next week.,The plumber repaired the pipes last week.
The electrician will install the lights today.,The electrician installed the lights yesterday.
The painter will finish the mural by Friday.,The painter finished the mural on Friday.
The chef will prepare a special dinner for tonight.,The chef prepared a special dinner last night.
The teacher will give a test tomorrow.,The teacher gave a test yesterday.
The student will study hard for the exam.,The student studied hard for the exam.
The doctor will examine the patient later.,The doctor examined the patient earlier.
The lawyer will present the case tomorrow.,The lawyer presented the case yesterday.
The judge will rule on the case soon.,The judge ruled on the case yesterday.
The jury will deliberate the verdict this afternoon.,The jury deliberated the verdict yesterday.
I plant a tree in my backyard.,I planted a tree in my backyard.
She waters her flowers every morning.,She watered her flowers this morning.
He mows the lawn every Saturday.,He mowed the lawn last Saturday.
We weed the garden every Sunday.,We weeded the garden yesterday.
They rake the leaves every autumn.,They raked the leaves last autumn.
The farmer plows the fields in spring.,The farmer plowed the fields last spring.
The gardener plants seeds in the soil.,The gardener planted seeds in the soil.
The baker kneads the dough for the bread.,The baker kneaded the dough for the bread.
The chef chops the vegetables for the soup.,The chef chopped the vegetables for the soup.
The tailor sews the buttons onto the shirt.,The tailor sewed the buttons onto the shirt.
The artist sketches a portrait of a person.,The artist sketched a portrait of a person.
The musician composes a symphony.,The musician composed a symphony.
The dancer rehearses her performance.,The dancer rehearsed her performance.
The athlete practices their sport.,The athlete practiced their sport.
The student learns a new language.,The student learned a new language.
The teacher teaches a new subject.,The teacher taught a new subject.
The doctor prescribes medication for the patient.,The doctor prescribed medication for the patient.
The lawyer advises the client.,The lawyer advised the client.
The engineer designs a new building.,The engineer designed a new building.
The writer creates a story.,The writer created a story.
The programmer develops a software program.,The programmer developed a software program.
The scientist conducts research.,The scientist conducted research.
The farmer cultivates the land.,The farmer cultivated the land.
The gardener cultivates the plants.,The gardener cultivated the plants.
The baker bakes a cake for a party.,The baker baked a cake for a party.
The tailor stitches a dress for a customer.,The tailor stitched a dress for a customer.
The artist paints a landscape.,The artist painted a landscape.
The musician plays a concert.,The musician played a concert.
The sun warms the earth.,The sun warmed the earth.
The moon illuminates the night.,The moon illuminated the night.
The stars shine brightly in the sky.,The stars shone brightly in the sky.
The clouds drift across the sky.,The clouds drifted across the sky.
The wind blows gently through the trees.,The wind blew gently through the trees.
The rain falls softly on the ground.,The rain fell softly on the ground.
The snow covers the landscape.,The snow covered the landscape.
The ice melts in the spring.,The ice melted in the spring.
The river flows to the ocean.,The river flowed to the ocean.
The lake reflects the sky.,The lake reflected the sky.
The ocean waves crash on the shore.,The ocean waves crashed on the shore.
The tide comes in and goes out.,The tide came in and went out.
The seagulls fly above the water.,The seagulls flew above the water.
The dolphins swim in the ocean.,The dolphins swam in the ocean.
The whales sing their songs.,The whales sang their songs.
The sharks hunt for fish.,The sharks hunted for fish.
The fish swim in schools.,The fish swam in schools.
The coral reefs teem with life.,The coral reefs teemed with life.
The seaweed grows underwater.,The seaweed grew underwater.
I will visit my grandparents next weekend.,I visited my grandparents last weekend.
She will prepare a delicious lunch for us today.,She prepared a delicious lunch for us yesterday.
He will complete his project by tomorrow.,He completed his project yesterday.
We will have a picnic in the park tomorrow.,We had a picnic in the park yesterday.
They will attend the meeting next Monday.,They attended the meeting last Monday.
My parents will travel to Europe next year.,My parents traveled to Europe last year.
My sister will get married next spring.,My sister got married last spring.
My brother will graduate from college next June.,My brother graduated from college last June.
My best friend will move to a new city next month.,My best friend moved to a new city last month.
I will start a new job next week.,I started a new job last week.
She will take a vacation next month.,She took a vacation last month.
He will buy a new car next year.,He bought a new car last year.
We will paint the house next weekend.,We painted the house last weekend.
They will remodel their kitchen next month.,They remodeled their kitchen last month.
The team will play in the championship game next week.,The team played in the championship game last week.
The band will release their new album next month.,The band released their new album last month.
The author will publish her new book next year.,The author published her new book last year.
The artist will have an exhibition next month.,The artist had an exhibition last month.
The musician will go on tour next year.,The musician went on tour last year.
The actor will star in a new movie next year.,The actor starred in a new movie last year.
The athlete will compete in the Olympics next year.,The athlete competed in the Olympics last year.
The scientist will publish her research findings next month.,The scientist published her research findings last month.
The engineer will complete the bridge construction next year.,The engineer completed the bridge construction last year.
The lawyer will argue the case in court next week.,The lawyer argued the case in court last week.
The doctor will perform surgery next week.,The doctor performed surgery last week.
The teacher will grade the exams today.,The teacher graded the exams yesterday.
The student will take the test tomorrow.,The student took the test yesterday.
The chef will create a new recipe today.,The chef created a new recipe yesterday.
The baker will bake a wedding cake tomorrow.,The baker baked a wedding cake yesterday.
The tailor will sew a new dress this week.,The tailor sewed a new dress last week.
The artist will paint a portrait today.,The artist painted a portrait yesterday.
The musician will compose a song this week.,The musician composed a song last week.
The dancer will practice her routine today.,The dancer practiced her routine yesterday.
The athlete will train for the competition this week.,The athlete trained for the competition last week.
The scientist will analyze the data today.,The scientist analyzed the data yesterday.
The engineer will test the new design this week.,The engineer tested the new design last week.
The cat naps in a sunbeam.,The cat napped in a sunbeam.
The dog plays fetch in the park.,The dog played fetch in the park.
The bird sings a sweet song.,The bird sang a sweet song.
The fish swims gracefully in the tank.,The fish swam gracefully in the tank.
The rabbit hops through the field.,The rabbit hopped through the field.
The squirrel scampers up a tree.,The squirrel scampered up a tree.
The deer grazes peacefully in the meadow.,The deer grazed peacefully in the meadow.
The wolf howls at the moon.,The wolf howled at the moon.
The fox hunts for mice.,The fox hunted for mice.
The bear hibernates during winter.,The bear hibernated during winter.
The owl hunts at night.,The owl hunted at night.
The snake slithers through the tall grass.,The snake slithered through the tall grass.
The lizard basks in the sun.,The lizard basked in the sun.
The turtle slowly makes its way across the sand.,The turtle slowly made its way across the sand.
The frog leaps into the lily pads.,The frog leaped into the lily pads.
The bee collects nectar from the flowers.,The bee collected nectar from the flowers.
The butterfly flits from flower to flower.,The butterfly flitted from flower to flower.
The ant carries a crumb.,The ant carried a crumb.
The grasshopper jumps from blade to blade.,The grasshopper jumped from blade to blade.
I will go to the grocery store tomorrow.,I went to the grocery store yesterday.
She will cook dinner tonight.,She cooked dinner last night.
He will read a book before bed.,He read a book before bed.
We will watch a movie this evening.,We watched a movie last evening.
They will play games after dinner.,They played games after dinner.
My friends will come over later.,My friends came over earlier.
My family will have a barbecue this weekend.,My family had a barbecue last weekend.
My neighbor will mow his lawn this afternoon.,My neighbor mowed his lawn this morning.
The children will play outside later.,The children played outside earlier.
The birds will sing in the morning.,The birds sang in the morning.
The flowers will bloom in the spring.,The flowers bloomed in the spring.
The leaves will change color in the fall.,The leaves changed color in the fall.
The snow will fall in the winter.,The snow fell in the winter.
The sun will set this evening.,The sun set this evening.
The moon will rise tonight.,The moon rose tonight.
The stars will shine brightly tonight.,The stars shone brightly last night.
The wind will blow strongly tomorrow.,The wind blew strongly yesterday.
The rain will fall heavily tomorrow.,The rain fell heavily yesterday.
The clouds will cover the sky tomorrow.,The clouds covered the sky yesterday.
The river will overflow its banks after the rain.,The river overflowed its banks after the rain.
The lake will freeze over in winter.,The lake froze over last winter.
The ocean will be stormy tomorrow.,The ocean was stormy yesterday.
The tide will come in this evening.,The tide came in this morning.
The seagulls will fly overhead tomorrow.,The seagulls flew overhead yesterday.
The dolphins will swim in the ocean today.,The dolphins swam in the ocean yesterday.
The whales will migrate south soon.,The whales migrated south last year.
The sharks will hunt for fish today.,The sharks hunted for fish yesterday.
The fish will swim in schools today.,The fish swam in schools yesterday.
The coral reefs will thrive in the warm water.,The coral reefs thrived in the warm water.
The seaweed will grow abundantly this summer.,The seaweed grew abundantly last summer.
The trees will shed their leaves in autumn.,The trees shed their leaves last autumn.
The plants will grow taller in the summer.,The plants grew taller last summer.
The flowers will wilt in the heat.,The flowers wilted in the heat.
The fruits will ripen in the sun.,The fruits ripened in the sun.
The vegetables will grow in the garden.,The vegetables grew in the garden.
The farmer will plant crops in the spring.,The farmer planted crops last spring.
The gardener will tend the garden this week.,The gardener tended the garden last week.
The baker decorates the cake beautifully.,The baker decorated the cake beautifully.
The chef prepares a gourmet meal.,The chef prepared a gourmet meal.
The artist paints a vibrant landscape.,The artist painted a vibrant landscape.
The musician plays a soulful melody.,The musician played a soulful melody.
The dancer performs an elegant routine.,The dancer performed an elegant routine.
The athlete trains rigorously for the competition.,The athlete trained rigorously for the competition.
The student studies diligently for the exam.,The student studied diligently for the exam.
The teacher instructs the students patiently.,The teacher instructed the students patiently.
The doctor diagnoses the patient's illness.,The doctor diagnosed the patient's illness.
The lawyer presents a compelling argument.,The lawyer presented a compelling argument.
The engineer designs a sustainable building.,The engineer designed a sustainable building.
The writer crafts a captivating story.,The writer crafted a captivating story.
The programmer codes efficient software.,The programmer coded efficient software.
The scientist conducts groundbreaking research.,The scientist conducted groundbreaking research.
The farmer harvests a bountiful crop.,The farmer harvested a bountiful crop.
The gardener cultivates a thriving garden.,The gardener cultivated a thriving garden.
The tailor sews a custom-made suit.,The tailor sewed a custom-made suit.
The carpenter builds a sturdy table.,The carpenter built a sturdy table.
The mechanic repairs the engine effectively.,The mechanic repaired the engine effectively.
I will attend the conference next week.,I attended the conference last week.
She will give a presentation tomorrow.,She gave a presentation yesterday.
He will complete his report by Friday.,He completed his report last Friday.
We will travel overseas next summer.,We traveled overseas last summer.
They will host a party next month.,They hosted a party last month.
My family will go camping next weekend.,My family went camping last weekend.
My friends will visit me next month.,My friends visited me last month.
