Sentence1,Sentence2
The chef cooked the meal.,The meal was cooked by the chef.
The dog chased the ball.,The ball was chased by the dog.
The artist painted the portrait.,The portrait was painted by the artist.
The students read the book.,The book was read by the students.
The teacher graded the papers.,The papers were graded by the teacher.
The cat sat on the mat.,The mat was sat on by the cat.
The bird sang a beautiful song.,A beautiful song was sung by the bird.
The wind blew the leaves.,The leaves were blown by the wind.
The rain soaked the ground.,The ground was soaked by the rain.
The sun melted the snow.,The snow was melted by the sun.
The fire warmed the room.,The room was warmed by the fire.
The children built a sandcastle.,A sandcastle was built by the children.
The farmer planted the seeds.,The seeds were planted by the farmer.
The mechanic repaired the car.,The car was repaired by the mechanic.
The doctor examined the patient.,The patient was examined by the doctor.
The writer wrote a novel.,A novel was written by the writer.
The singer sang a song.,A song was sung by the singer.
The team won the game.,The game was won by the team.
The company hired the employee.,The employee was hired by the company.
The thief stole the money.,The money was stolen by the thief.
The police arrested the suspect.,The suspect was arrested by the police.
The lawyer defended the client.,The client was defended by the lawyer.
The judge sentenced the criminal.,The criminal was sentenced by the judge.
The jury reached a verdict.,A verdict was reached by the jury.
The witness testified in court.,Testimony was given in court by the witness.
The dog bit the postman.,The postman was bitten by the dog.
The bee stung the child.,The child was stung by the bee.
The cat scratched the furniture.,The furniture was scratched by the cat.
The bird built a nest.,A nest was built by the bird.
The squirrel buried the nut.,The nut was buried by the squirrel.
The mouse ate the cheese.,The cheese was eaten by the mouse.
The wolf howled at the moon.,The moon was howled at by the wolf.
The fox jumped over the fence.,The fence was jumped over by the fox.
The bear climbed the tree.,The tree was climbed by the bear.
The lion roared loudly.,A loud roar was made by the lion.
The elephant trumpeted.,A trumpet was sounded by the elephant.
The monkey swung from the branch.,The branch was swung from by the monkey.
The giraffe ate the leaves.,The leaves were eaten by the giraffe.
The zebra ran across the plain.,The plain was run across by the zebra.
The hippopotamus wallowed in the mud.,The mud was wallowed in by the hippopotamus.
The rhino charged at the jeep.,The jeep was charged at by the rhino.
The tiger stalked its prey.,Its prey was stalked by the tiger.
The cheetah ran swiftly.,Swift running was displayed by the cheetah.
The eagle soared through the sky.,The sky was soared through by the eagle.
The owl perched on the branch.,The branch was perched on by the owl.
The hawk caught the mouse.,The mouse was caught by the hawk.
The parrot spoke.,Speech was made by the parrot.
The snake slithered through the grass.,The grass was slithered through by the snake.
The lizard basked in the sun.,The sun was basked in by the lizard.
The turtle crawled slowly.,Slow crawling was done by the turtle.
