Dimension,Contribution
1,7.991026366677103
2,7.410837595513438
3,7.975943723786461
4,6.918660011235278
5,8.19786461914747
6,7.766251042393947
7,8.291341291361809
8,7.981804555605256
9,7.751403751378833
10,7.584332348030568
11,7.04306217144182
12,7.835492970603552
13,6.939646678095296
14,7.364350317471121
15,7.510280574185456
16,7.394341792901832
17,7.6479876325898495
18,7.172633942785045
19,8.094690080949238
20,7.519463673219038
21,7.226214719807896
22,7.256857672915797
23,7.378516013308628
24,7.362003146295123
25,7.347027939176385
26,7.373324163194097
27,7.170362335313639
28,7.751897878680503
29,7.954904802241707
30,7.039767482445701
31,7.744926834728405
32,7.457321170516872
33,7.401010136732593
34,7.901342519092223
35,8.108714222394209
36,7.41305233162282
37,7.576108523520032
38,7.707342570736568
39,7.170585761208126
40,6.827756827215647
41,7.505506449343402
42,7.086089453750876
43,7.517981840460848
44,7.081530744085722
45,7.853519516906928
46,7.8450880818986235
47,8.665708305389625
48,7.5286509144863984
49,8.666428878249132
50,7.998412855339158
51,7.715024803288679
52,8.113943819981898
53,8.506961477681687
54,8.292179629937838
55,7.416841345803092
56,7.806128016502463
57,7.63971435116288
58,7.290614070941151
59,7.114958766022031
60,7.698222321164575
61,7.670201450466243
62,7.601360753673441
63,7.083612894490651
64,7.568050128522673
65,7.543720158964765
66,7.858957498741798
67,6.843484274573356
68,7.588665583312007
69,7.642091264586836
70,7.037978803300952
71,7.360518904806366
72,7.687158241413146
73,7.070125478051035
74,7.81061152693129
75,7.327402466475036
76,7.6304473135694515
77,7.458390623438566
78,7.214515969204658
79,6.925615912435812
80,7.788039120522286
81,7.548337318859371
82,7.66022993862293
83,7.465939631470464
84,7.166181356541732
85,7.091849921857065
86,7.386960597452171
87,7.484379150672683
88,6.997263575977968
89,7.871359565570403
90,8.500497417453477
91,7.696648585065221
92,7.501851246172646
93,7.8191507598141285
94,7.5815122115000575
95,6.971021284302016
96,7.762639671489729
97,7.316850270928496
98,6.848704877309721
99,7.3091277500836895
100,7.642873641224773
101,7.243272768762122
102,7.926495516529828
103,8.133436116012275
104,7.762035311891799
105,7.810150584711307
106,6.966749494752135
107,7.23840473607444
108,7.644693299532357
109,8.007198639017883
110,7.142066093579782
111,7.653329381522551
112,7.81958582829739
113,7.142695260428717
114,7.387756802842934
115,7.502345961810257
116,8.007365371608739
117,7.245791573087563
118,7.634460605934185
119,7.215311663366343
120,7.1392568209119105
121,8.122312786713179
122,7.790608734224646
123,6.821234698588034
124,7.700045824583203
125,6.925341952519824
126,7.431582727563546
127,7.58980935700519
128,7.727742828632289
129,7.805736899679083
130,7.2856599639168955
131,7.280887277114173
132,7.271291026969622
133,7.108217483228558
134,7.265238718328737
135,6.947255324803091
136,7.924548736360065
137,7.279518951315867
138,7.072451958969962
139,7.435130901025868
140,6.903360538720177
141,7.622582391551708
142,8.176921822844934
143,8.028557909124988
144,7.520173943201916
145,7.74413738673803
146,7.595019739263407
147,7.585447820178885
148,8.089093881565525
149,7.85035882712583
150,7.0138618842716705
151,7.135027524577824
152,7.9758948860522905
153,6.966913569667825
154,7.607738031324183
155,8.026435509418423
156,7.384788615727294
157,8.326346761275659
158,7.301543053191517
159,8.014023354009709
160,6.979751052672027
161,7.481480485552569
162,7.608974281223671
163,7.267521945467337
164,7.789089002160397
165,7.341690269381398
166,7.193391327915222
167,8.135583784999017
168,7.649225640650929
169,7.382277085245519
170,7.608175972103448
171,7.101586964119023
172,7.653148534388585
173,7.472134191219341
174,7.251049898455506
175,8.245710347517917
176,7.155229388829524
177,8.241883901523902
178,7.163261832416145
179,6.839559726222904
180,7.407388429104836
181,7.9318662335179715
182,7.820676812136654
183,7.525493521042804
184,7.954297683676346
185,8.074900048385846
186,7.361239212363706
187,7.658978735887396
188,7.045335236245261
189,7.953458269144453
190,7.7028162824257675
191,8.408897267107832
192,8.040535912980447
193,7.901031812738582
194,7.80385118798826
195,7.22059553949321
196,7.9305839278135295
197,8.480602208810165
198,8.90485565438522
199,7.839783823976329
200,7.650738204942668
201,7.4654391629451435
202,7.215258557151445
203,7.32251714131351
204,7.3366328375745935
205,8.437500136631602
206,7.349292555437329
207,7.486864302007124
208,7.55645538987083
209,7.546405232956817
210,7.210093496950565
211,7.896942937565755
212,7.433676924244485
213,8.203412975836546
