Rank,Dimension,Contribution
Optimal Components,264,
1,308,9.58853220283919
2,432,9.337463061006481
3,333,8.939784726148778
4,752,8.924323253879116
5,197,8.90485565438522
6,563,8.74515317178748
7,452,8.69731961073757
8,578,8.684773571755013
9,536,8.675981464053766
10,48,8.666428878249132
11,46,8.665708305389625
12,505,8.652078597997217
13,265,8.616989828518165
14,757,8.586280122927747
15,408,8.584518352324544
16,629,8.57949120662124
17,287,8.570503278700205
18,318,8.511607569092277
19,445,8.51019041241818
20,52,8.506961477681687
