Rank,Feature,Importance
1,5,0.5993513941401242
2,24,0.6669642054094453
3,66,0.5928079291149394
4,125,0.675604189502159
5,153,0.7243736166147955
6,199,0.6746038324073725
7,209,0.8343158959281867
8,235,0.705454234419497
9,249,0.5312435685883856
10,256,0.576315309451265
11,272,0.8254403330863107
12,296,0.549300020360077
13,312,0.8357842848496664
14,324,0.5233534382220799
15,359,0.7688052842809601
16,515,0.8184039692823619
17,526,0.7366688897897153
18,593,0.527564333181027
19,620,0.5473768604731426
20,712,0.6128261840841769
