Rank,Dimension,Contribution
Optimal Components,254,
1,308,9.080622573255772
2,432,8.889599364814064
3,639,8.555148524700027
4,408,8.492624154994555
5,333,8.454438724239559
6,505,8.411585613419543
7,197,8.405542037055127
8,752,8.365726648816175
9,181,8.298533792436363
10,536,8.277040320649137
11,452,8.158331960049665
12,390,8.13743545449082
13,731,8.092492048153101
14,204,8.071830229517378
15,743,8.062370134023043
16,687,8.059976468268253
17,154,8.024250765805043
18,553,8.002116127147163
19,180,8.001901575319419
20,229,7.996309719858324
