Rank,Dimension,Contribution
1,432,9.170401901157376
2,308,9.057037622689265
3,408,8.604783065050482
4,505,8.544390279962183
5,333,8.420767439673988
6,181,8.409413724555
7,639,8.331908277604143
8,752,8.286019268391977
9,536,8.157501961030835
10,390,8.145796972430922
11,452,8.129152649552573
12,83,8.127425180181383
13,743,8.122236135817118
14,582,8.104176351558783
15,731,8.091143223781561
16,687,8.072125786863673
17,180,8.065051679536579
18,533,8.045916158449051
19,670,8.013279102450696
20,563,7.995371149603814
