Rank,Feature,Importance
1,35,2.6238826156103032
2,165,2.307299219597268
3,180,3.155614441399115
4,230,2.1251549644507097
5,300,2.092008409135416
6,307,2.2853807304166223
7,315,2.092464321855345
8,350,2.110644329406914
9,356,2.748504641850435
10,385,2.039554293290874
11,467,2.4785004813083917
12,497,1.8510358020239264
13,517,1.5706564569760615
14,527,2.1420850549657646
15,543,2.144745829987448
16,553,2.1078013987228763
17,585,2.0310084247411964
18,613,2.7749853825586293
19,669,2.042335993360568
20,742,2.6513943788189094
