Rank,Dimension,Contribution
Optimal Components,231,
1,308,8.458433264777943
2,432,8.36131091173753
3,197,8.043804646377893
4,180,7.754101323280157
5,408,7.751719484800674
6,505,7.744105284281481
7,752,7.738336694222845
8,176,7.697652131864036
9,52,7.627411073282456
10,324,7.58061572003454
11,687,7.539125695676413
12,75,7.527206344776189
13,287,7.443656569345544
14,190,7.439880495986044
15,250,7.438449022488811
16,639,7.425043999693299
17,48,7.412354530408017
18,696,7.406218395821268
19,536,7.405579298942811
20,563,7.389799816920234
