Rank,Dimension,Contribution
1,308,8.313215911627903
2,432,8.169718400223662
3,197,7.869733253556386
4,408,7.856266057038957
5,505,7.759898083005817
6,752,7.734740466697115
7,176,7.723826394969434
8,75,7.625673627968878
9,52,7.610556969213583
10,180,7.586040097239229
11,639,7.578886502966453
12,687,7.56837499671028
13,204,7.551751663278662
14,324,7.547603255967143
15,421,7.4616168894349695
16,757,7.439509488815788
17,582,7.420970046563052
18,586,7.420228332499123
19,553,7.415193184689528
20,520,7.401510761774718
