Rank,Feature,Importance
1,16,1.8676047891602332
2,43,2.136017619402095
3,54,1.6754674446610947
4,60,2.439760464741946
5,71,1.6712978637468965
6,97,2.186391059541911
7,210,2.2226798520821083
8,331,1.6750534235248684
9,352,2.091216734524016
10,387,2.2989242283790983
11,418,1.5762254068335706
12,483,1.9278248412457215
13,539,2.140028910161513
14,558,2.0198850383848437
15,577,2.122737539890559
16,637,1.5531733539331936
17,695,1.936137754682387
18,715,2.2761918924552127
19,745,1.9861227177365195
20,765,1.6307931027660905
