Rank,Dimension,Contribution
Optimal Components,137,
1,752,5.997809214951388
2,180,5.38352668108873
3,308,5.3154372468522055
4,763,4.926638672522234
5,731,4.780278797793542
6,505,4.750321271642626
7,123,4.704602894452931
8,575,4.673979136165264
9,530,4.621692271767429
10,432,4.594379579710392
11,297,4.5923694854030925
12,532,4.538165905986288
13,192,4.5355579479483925
14,14,4.515820306851795
15,512,4.501659038003613
16,390,4.485635090242253
17,408,4.478131269683494
18,620,4.475547421618893
19,638,4.462686633815918
20,564,4.460806000401174
