Rank,Dimension,Contribution
1,752,5.951705059386615
2,308,5.489324981807951
3,180,5.450327686247997
4,763,4.875104329305808
5,123,4.8729742825867195
6,575,4.861803435379068
7,505,4.700856880210213
8,731,4.691116421491001
9,192,4.623851054956972
10,432,4.62275304386857
11,532,4.58888700241331
12,297,4.55508869494236
13,512,4.548128794187098
14,212,4.516738456734691
15,530,4.516259906018593
16,226,4.4887631668201
17,390,4.481025974680154
18,553,4.476434707288345
19,408,4.469704476388489
20,14,4.465878305498467
