Rank,Feature,Importance
1,36,1.3598282127797305
2,74,2.7046419627414378
3,86,0.8868014135326238
4,158,1.0015005962297365
5,237,1.7286585335953422
6,311,1.0293062636554515
7,318,1.2566995903210951
8,334,1.3360457669475492
9,417,1.7966713576005515
10,437,1.5841504302596003
11,489,1.595201472469549
12,541,1.7194841828591394
13,549,1.3634409076775238
14,563,1.230300075135603
15,567,1.7364705722713054
16,608,1.20434150611636
17,622,1.6377314133248757
18,646,1.1151681450065876
19,678,1.3246008055175336
20,735,1.28604645954887
