embedding,weights,accuracy
intensifier_ldsps_embeddings.csv,"(0.2, 0.2, 0.6000000000000001)",0.84
intensifier_ldsps_embeddings.csv,"(0.2, 0.3, 0.5)",0.8675
intensifier_ldsps_embeddings.csv,"(0.2, 0.4, 0.4)",0.8475
intensifier_ldsps_embeddings.csv,"(0.2, 0.5, 0.30000000000000004)",0.855
intensifier_ldsps_embeddings.csv,"(0.2, 0.6, 0.20000000000000007)",0.855
intensifier_ldsps_embeddings.csv,"(0.3, 0.2, 0.49999999999999994)",0.84
intensifier_ldsps_embeddings.csv,"(0.3, 0.3, 0.39999999999999997)",0.8525
intensifier_ldsps_embeddings.csv,"(0.3, 0.4, 0.29999999999999993)",0.8475
intensifier_ldsps_embeddings.csv,"(0.3, 0.5, 0.19999999999999996)",0.855
intensifier_ldsps_embeddings.csv,"(0.3, 0.6, 0.09999999999999998)",0.8525
intensifier_ldsps_embeddings.csv,"(0.4, 0.2, 0.39999999999999997)",0.86
intensifier_ldsps_embeddings.csv,"(0.4, 0.3, 0.3)",0.8525
intensifier_ldsps_embeddings.csv,"(0.4, 0.4, 0.19999999999999996)",0.885
intensifier_ldsps_embeddings.csv,"(0.4, 0.5, 0.09999999999999998)",0.8625
intensifier_ldsps_embeddings.csv,"(0.5, 0.2, 0.3)",0.8525
intensifier_ldsps_embeddings.csv,"(0.5, 0.3, 0.2)",0.8525
intensifier_ldsps_embeddings.csv,"(0.5, 0.4, 0.09999999999999998)",0.855
intensifier_ldsps_embeddings.csv,"(0.6, 0.2, 0.2)",0.8525
intensifier_ldsps_embeddings.csv,"(0.6, 0.3, 0.10000000000000003)",0.885
