baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
3.8982307695688405,3.3702803560379224,2.967268291129266,3.9896603927004843,2.538054800670132,2.8623155297168434,4.834788750108982,The feeling is overwhelming., The feeling is very overwhelming.
5.862819789858167,5.415795116943312,4.92039846310001,5.865627268424626,4.318269758903785,4.488373299165725,5.361677846917781,The existence is fleeting., The existence is somewhat fleeting.
5.166579864047055,4.41523731324744,4.2534611453582425,5.2361084733033785,3.116443123690217,3.21029691847328,3.27910681148288,The path is clear., The path is remarkably clear.
4.221713012890108,3.7254955077332506,3.6166718589515527,4.310314663508614,3.662970714083138,3.7795565493508003,4.354257697230991,The rebuilding was difficult., The rebuilding was extremely difficult.
3.2001701324096725,2.3887287130624233,2.259041559986491,3.3211440607140643,3.914433867801854,3.8085339941997094,5.232363552148762,The temperature is comfortable., The temperature is very comfortable.
3.8076773095831857,3.369987499018306,3.342401098394908,3.9296223441678695,4.452518711447087,4.74203102241167,5.360200651582859,The calm was deceptive., The calm was surprisingly deceptive.
4.07863545668821,3.183404666630949,2.8530830258705717,4.2130270541719845,3.0639018844089696,2.8671759424842764,5.138799595751102,The weather was cold., The weather was extremely cold.
3.98459201441366,3.403109044166378,3.010409066666686,4.071253512958429,3.7361517368126806,3.763891202830915,5.4011363000002195,The art is expressive., The art is very expressive.
4.36706149723067,4.017973904587003,3.363272440998411,4.46819435057738,4.1999799197555445,4.26467037419698,4.5226015304198475,The plane is large., The plane is extremely large.
3.4127958626909285,2.8932778853728656,2.7927974710503887,3.505163639797351,3.3532186903114103,3.5414106356571438,4.876496748680542,The system is complex., The system is extremely complex.
3.3389125422804313,3.0322356138893665,2.867823431892907,3.4570705347210264,4.860058100684508,4.734713219899856,6.491300632308699,The giraffe is tall., The giraffe is very tall.
3.3726988791175674,3.226765348130821,2.942031248342866,3.4403012289302577,3.5101216564606594,3.567411981424563,5.274148269257376,The animals are playful., The animals are incredibly playful.
2.9824189568699824,2.4009625052879597,2.5553277805313237,3.1562856104626187,3.48490120819329,3.524037912750179,6.849451183847089,The earthquake was powerful., The earthquake was extremely powerful.
4.222842916171455,3.62637046753647,3.449275014894033,4.361591798804737,3.420732645056551,3.505224037696048,4.383280703575704,The lesson is difficult., The lesson is extremely difficult.
3.7734980266919127,3.0082912070873595,2.9746239262003824,3.787302276101951,3.947563884369407,3.553158664468296,5.562886552950357,The collaboration is productive., The collaboration is extremely productive.
