Rank,Dimension,Contribution
Optimal Components,242,
1,197,8.660879278609817
2,432,8.61429796432685
3,308,8.549796646985435
4,752,8.090865613695694
5,536,8.010692468781592
6,52,7.993823424758691
7,723,7.845700098426276
8,180,7.8338855325357075
9,6,7.816317162191465
10,670,7.8055207870339505
11,89,7.8031340638920605
12,578,7.779738932731996
13,727,7.766542469101155
14,104,7.745452384957141
15,379,7.7360829044711785
16,115,7.724647212131213
17,551,7.708349890369512
18,390,7.707396178443718
19,156,7.702940152227999
20,21,7.689051617646822
