Rank,Dimension,Contribution
1,308,8.543100455749327
2,197,8.413591380963837
3,432,8.403277916773915
4,52,8.043657180950426
5,752,7.9965478422647545
6,578,7.94791124543349
7,536,7.928177938142321
8,408,7.9261045554787195
9,6,7.8868790185603395
10,324,7.83849856732299
11,533,7.820218670728578
12,180,7.7980482228282835
13,301,7.789828642010161
14,670,7.765847491705764
15,723,7.7435983884137
16,650,7.7282339128189985
17,727,7.728177349574359
18,21,7.72816092477841
19,754,7.724379439651607
20,104,7.7123906033342955
