Rank,Feature,Importance
1,26,2.6003987249737204
2,139,3.035764887510596
3,144,2.691230357376248
4,191,3.0222625909458696
5,269,2.834838059214985
6,319,2.191512098203581
7,441,3.3251705884523393
8,442,2.7356113285412427
9,445,2.528322935749677
10,478,3.348614221251242
11,535,2.3145832015479497
12,581,2.214181341924932
13,602,2.3748120241200525
14,605,2.5715213720721133
15,661,2.6176594913886264
16,663,3.0065553980046276
17,686,3.029008167179537
18,692,3.308982982542243
19,732,2.7259788919002057
20,736,2.896083707553838
