Rank,Dimension,Contribution
Optimal Components,192,
1,308,7.527775802490557
2,752,7.384900773710717
3,180,7.381980334474668
4,432,7.16932590706182
5,197,6.660486900632673
6,505,6.499934273508783
7,452,6.42888533572186
8,226,6.400471982924573
9,408,6.374619497278783
10,696,6.3673761253694785
11,190,6.304565781183118
12,156,6.276736033262596
13,639,6.260667784174635
14,301,6.230771892633326
15,742,6.211508396384765
16,204,6.1805024777488615
17,108,6.1680871674505955
18,397,6.158093040373266
19,135,6.127399027442767
20,89,6.126588247256546
