Rank,Dimension,Contribution
1,308,7.481452692370192
2,752,7.353071895585819
3,180,7.24693634761141
4,432,7.122395459847345
5,197,6.670309453186132
6,226,6.4963690737392685
7,505,6.449740625754776
8,452,6.382621865076991
9,89,6.3727335104549745
10,408,6.336214361684596
11,696,6.303892798965125
12,156,6.276086106431627
13,135,6.244149350652833
14,743,6.217108381432048
15,639,6.211722634419447
16,190,6.202539233729737
17,2,6.201929087385002
18,554,6.17712857240423
19,553,6.165650016462971
20,436,6.146078385241497
