Rank,Feature,Importance
1,53,3.148861161254037
2,55,2.9018414711093974
3,64,2.480991853895737
4,70,2.904913884890747
5,97,2.934255545085584
6,118,2.848815780949345
7,145,1.9557198880728097
8,163,2.584280354015934
9,226,2.567283079420421
10,250,3.164061499307655
11,253,2.6622325115404935
12,268,1.9552035074981537
13,362,2.0536397080732196
14,384,3.4107724740266883
15,402,3.5373240455542034
16,459,2.328397311862718
17,500,3.333783798156007
18,522,2.024795537968308
19,607,1.9924215917020844
20,660,3.2592826043914314
