baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,transformative_loss_similarity,contrastive_loss_similarity,contrastive_cosine_similarity,Sentence1,Sentence2
4.870528853710234,4.419032402374094,4.1027420548657085,4.921386714382608,4.461467652139412,4.535436236327728,5.186864654124802,The team played a winning game.,The team did not play a winning game.
3.728554891212984,2.721504290983739,2.353885706940811,3.9664638678283164,3.2340656399131635,3.092906616952503,4.710209529044056,The grasshopper nimbly hopped through the tall grass.,The grasshopper did not nimbly hop through the tall grass.
3.852939890398847,2.9881064649433866,2.6382679852895525,4.003031448675986,3.0766161088194504,3.1468060973377163,5.1251494020082475,The snail slowly left a glistening trail.,The snail did not slowly leave a glistening trail.
3.8433053756690816,3.3328784938552856,3.0504327262569895,3.9519837838520746,2.724480072870001,2.8409966225845746,5.235779838059493,The company effectively managed its resources.,The company did not effectively manage its resources.
3.316729013178489,2.3052685422361074,2.291427762273575,3.4867944582291375,3.4707155849789895,3.435205406569237,4.489483060094046,The geologists examined the Earth's structure.,The geologists did not examine the Earth's structure.
4.668955440820706,4.325251155579933,4.025172833486894,4.715867130404767,2.6327056168790413,2.9097893455345636,4.737492904535168,The organization successfully achieved its mission.,The organization did not successfully achieve its mission.
4.597611007937917,3.690461268849798,3.2787646109480653,4.713911754541823,2.758846537980153,2.3652956280502178,5.316786731509529,The bees pollinated the flowers.,The bees did not pollinate the flowers.
3.728608783794133,2.760498739017057,2.604075333647769,3.782076561774996,2.644731679763896,2.8356243396943497,3.9214878317662367,The writer wrote a captivating story.,The writer did not write a captivating story.
4.056742360456676,3.247100444765434,2.8015160121816947,4.008741748602525,2.296662458516028,2.305605548187367,4.558905720097049,The teacher patiently explained the concept.,The teacher did not patiently explain the concept.
4.970419657747742,4.187166292135296,3.8227115296379077,5.082010947686271,3.3677913971428284,3.349747308681328,4.60525881493072,The company grew rapidly,The company did not grow rapidly
2.982375935690194,2.2479464380810996,2.275955847360791,3.1656183177160013,3.84545194490585,3.8601355771536605,4.989096528919137,The plains stretched out as far as the eye could see.,The plains did not stretch out as far as the eye could see.
2.465451104367146,3.1569066197312914,3.148694328730161,2.757476559457522,3.70888874586569,4.019897642039562,4.831758278747387,The painting was beautiful,The painting was ugly
4.707833340511808,3.9170348689327708,3.3357904409689265,4.845679940854223,3.6024440404110827,3.4897476666225,5.339257167581391,The dragonflies hunted mosquitoes.,The dragonflies did not hunt mosquitoes.
3.827265725161426,3.1900887197476875,2.898586674053443,3.8553960813605443,2.771004500950625,2.8059356129150967,4.912879493044631,The raccoons cleverly searched for food.,The raccoons did not cleverly search for food.
3.717048986179665,2.9332636144405826,2.750109534421534,3.7594338685145576,2.4630938231186117,2.35854302580215,5.410132090828565,The arctic foxes cleverly hunted their prey.,The arctic foxes did not cleverly hunt their prey.
