Rank,Dimension,Contribution
Optimal Components,283,
1,432,9.85116431879308
2,752,9.512063295980788
3,536,9.406716648733518
4,308,9.398230108109848
5,197,9.359654282252874
6,505,9.348326144457943
7,226,9.296100237149574
8,180,9.284051664530715
9,452,9.134719242360442
10,89,9.133590307805203
11,333,9.009629054304723
12,123,9.007472904063356
13,615,8.99407774568784
14,115,8.97386020383669
15,390,8.948341211104225
16,129,8.94590189254993
17,88,8.940536677030849
18,156,8.9259414108881
19,743,8.919579201853276
20,542,8.906618866811428
