Rank,Dimension,Contribution
1,432,9.923650263324358
2,308,9.49417280211696
3,197,9.390175184969896
4,752,9.350081860974623
5,536,9.321252692665649
6,505,9.232533035625782
7,89,9.196644976515893
8,452,9.195535839426745
9,180,9.194622482694305
10,226,9.179321477665038
11,333,9.08052833026247
12,390,9.038025466362448
13,743,9.037013273394642
14,129,8.996170312340421
15,115,8.992104184463265
16,408,8.945877875536022
17,156,8.932639695339189
18,265,8.919564852338564
19,6,8.907896250510596
20,123,8.883677558006752
