Rank,Feature,Importance
1,85,2.5758179242368584
2,96,2.5033839441868966
3,101,2.414763010641727
4,171,2.6222746515543744
5,195,2.1110323409165037
6,220,2.1221267340200933
7,251,2.9966379191496246
8,281,2.591428042665626
9,304,2.3185720632978075
10,411,2.285478938745327
11,451,2.592305283080621
12,507,2.457607928075251
13,542,2.5318395389433084
14,544,2.9765361130966697
15,642,2.4325841228418823
16,654,2.2254780307410105
17,692,2.3225689544715564
18,693,1.9645046337000074
19,737,2.425345357794549
20,741,2.2098757421661284
