Rank,Dimension,Contribution
Optimal Components,224,
1,752,8.049428358799027
2,308,7.992661232874454
3,432,7.820530174967926
4,197,7.694333413431799
5,120,7.645842312611704
6,101,7.417336822325179
7,505,7.412446234131205
8,48,7.384676499014395
9,180,7.3757857549431876
10,408,7.366329885991888
11,333,7.34722705930897
12,369,7.283394211984502
13,202,7.248098401393315
14,709,7.231406066095573
15,174,7.200815732885283
16,615,7.188320370935381
17,743,7.179766741668658
18,563,7.179439751723745
19,493,7.174064981814402
20,67,7.156436522030585
