Rank,Dimension,Contribution
1,308,8.122077932507558
2,752,8.043566145994074
3,197,7.8946013246445705
4,432,7.70380769792656
5,101,7.487858325790883
6,120,7.464393765372696
7,505,7.447639813148928
8,180,7.3696217075998645
9,48,7.306894834248774
10,333,7.2882137704428365
11,369,7.239278824954898
12,709,7.234789523320291
13,536,7.22687170475397
14,493,7.220933539608579
15,563,7.203938377069607
16,408,7.181990619546474
17,661,7.157254707850679
18,67,7.149468547012103
19,743,7.146728338837594
20,553,7.136993380636758
