Rank,Feature,Importance
1,74,2.315036068405416
2,96,2.6635563415756516
3,127,2.6292239115687557
4,182,1.7539465441240438
5,190,2.483041360388684
6,304,2.2998679719301123
7,366,2.293230879885966
8,397,2.6950019889367085
9,407,2.0421322909730364
10,431,3.296982688565187
11,460,2.0902506935401557
12,461,2.2921113831147086
13,500,2.8575314524716737
14,505,3.098298784369063
15,594,2.240570095440279
16,609,2.593168680744814
17,613,2.9098478981895144
18,616,1.7836579635541432
19,623,3.3871386630125686
20,662,2.620613618028207
