Rank,Dimension,Contribution
Optimal Components,146,
1,752,6.419478552033414
2,308,6.128145228896646
3,180,5.791664849240087
4,432,5.136958382423717
5,379,4.929531758262945
6,291,4.90742875476572
7,536,4.890225819873064
8,357,4.87437130837089
9,408,4.871046918955697
10,372,4.863340767291064
11,452,4.849564358755778
12,63,4.835054158625698
13,563,4.814659255272527
14,675,4.814518856297911
15,617,4.8087047768151585
16,461,4.774533834629289
17,736,4.769624808164933
18,374,4.759572770967439
19,89,4.758157282145069
20,136,4.755917809099506
