Rank,Dimension,Contribution
1,752,6.379307402426142
2,308,6.261191382396037
3,180,5.693850711773572
4,432,5.131781563189016
5,291,5.0780187985686265
6,536,4.957083909871641
7,174,4.861055900610288
8,372,4.860478206680499
9,379,4.850950835726799
10,452,4.8500486194165315
11,617,4.842640968697011
12,63,4.829756483221125
13,675,4.818053046560458
14,408,4.817864780493213
15,89,4.791478449252671
16,563,4.777014108063612
17,158,4.77280660951142
18,324,4.7692463148245885
19,136,4.7632037764906165
20,421,4.748182864519544
