Rank,Feature,Importance
1,19,3.0802200042856325
2,67,2.3371742905261654
3,163,2.5573869832727985
4,168,2.4704140454534924
5,192,2.3565207353550184
6,243,3.095144524163725
7,284,2.193521628976764
8,298,2.53373921788191
9,304,2.344025943028295
10,316,2.130841500690799
11,354,2.1855207456928194
12,387,2.3422699370688957
13,390,3.683003539183504
14,454,2.3613859503648365
15,457,2.771112037943623
16,463,2.424301391717444
17,489,2.630569109657635
18,723,2.3133631139279043
19,724,2.234375044639167
20,735,2.5590154349264314
