Rank,Dimension,Contribution
Optimal Components,184,
1,308,7.33950398823578
2,752,6.958503477614613
3,180,6.766424145803644
4,287,6.343018884791189
5,536,6.283558106399214
6,197,6.217640185318379
7,609,6.194709326929379
8,505,6.177157143194313
9,52,6.137948053025251
10,89,6.119835974485742
11,254,6.1149010271259545
12,553,6.073352523318493
13,375,6.069042388070657
14,408,6.0525595702908355
15,432,6.038685557592632
16,276,6.000517465152484
17,533,5.996869206151225
18,639,5.986618342445566
19,229,5.970412432576005
20,60,5.968294607437775
