Rank,Dimension,Contribution
1,308,7.28161274616049
2,752,6.970841809881094
3,180,6.620682814274943
4,536,6.36908651809397
5,287,6.338137211154457
6,197,6.302444343526268
7,89,6.230644274634046
8,609,6.168900621042275
9,52,6.129818145919626
10,544,6.110010528531877
11,229,6.105266576243636
12,639,6.089842566689224
13,505,6.0777161610373565
14,375,6.076088604950517
15,432,6.068692529156801
16,60,6.049802892948545
17,408,6.040577368056713
18,533,6.032478132113957
19,254,6.011747231035594
20,276,6.01029191988447
