Rank,Feature,Importance
1,68,2.730241436091504
2,112,2.2898238308941257
3,142,1.5477912669062448
4,170,2.1060732406118348
5,178,2.9256283635815854
6,180,3.0140564010595163
7,187,2.975209391153217
8,253,2.17602046046214
9,286,3.0991204359633198
10,331,1.6189755400290136
11,411,2.801155264396444
12,515,2.092784773512829
13,575,2.6331303599326823
14,585,1.7705089535936656
15,602,2.111514845520092
16,619,2.4654550426771746
17,630,2.4925934509766434
18,641,2.3186286374161167
19,679,1.7266435518899905
20,705,2.063066199099095
