Rank,Dimension,Contribution
Optimal Components,269,
1,432,9.43047949501909
2,308,9.120663854164519
3,197,8.94718754913643
4,452,8.939632258469072
5,752,8.85727684183185
6,505,8.852837623387032
7,89,8.840022155672282
8,473,8.821718190352662
9,279,8.724956627362086
10,669,8.71517955932207
11,575,8.673540813863706
12,408,8.658627653750564
13,272,8.63385762161376
14,744,8.604167237723416
15,639,8.585635153572229
16,226,8.576766341723895
17,629,8.574539195006963
18,716,8.571069083748707
19,743,8.54808739430921
20,670,8.54474878213214
