Rank,Dimension,Contribution
1,432,9.378650793911165
2,308,9.224610388905324
3,505,9.057168465491827
4,452,9.04234136870037
5,752,8.887672839729419
6,197,8.88127375829714
7,473,8.770615707273787
8,575,8.717581321164651
9,272,8.709071997229769
10,89,8.690686210934436
11,324,8.67597546316994
12,421,8.653436266046615
13,408,8.652334154983897
14,276,8.61978121449361
15,563,8.61493973958755
16,279,8.608867562815977
17,629,8.601887244083782
18,615,8.571205835597574
19,104,8.570773991810178
20,180,8.56510537769068
