Rank,Feature,Importance
1,16,2.424878516111349
2,27,2.6427473792532745
3,90,2.1131137429391686
4,111,3.3325999373052038
5,161,3.187661959769206
6,187,2.927136191350013
7,223,2.018125475695116
8,257,2.5322201057934546
9,260,2.48476831439035
10,359,2.911759391311047
11,523,2.7756227645935767
12,534,2.6071834919495225
13,594,2.555945598703417
14,653,2.9826937938245974
15,693,2.293374656967091
16,725,2.4629735939879285
17,747,2.0385263637150017
18,750,2.292225282929475
19,757,2.840239350892089
20,767,2.328578586759237
