Dimension,Mutual_Information
1,0.01229242746754678
2,0.006856683889973035
3,0.0030807433556013907
4,0.0049123308069713364
5,0.004833933844948922
6,0.012491297700246477
7,0.00906417109462284
8,0.0030926519978995075
9,0.005074809173734497
10,0.004950071206637423
11,0.004903358845015634
12,0.003279994306810745
13,0.006443530948184249
14,0.003675600636537336
15,0.00851593338718385
16,0.012275050893763446
17,0.005153947265701446
18,0.004961534163737201
19,0.004799914908796381
20,0.005006148712997975
21,0.0033187101763319914
22,0.007715585934002837
23,0.006076567575105621
24,0.0021550041601462854
25,0.0036544305760031685
26,0.0060695826407293416
27,0.011001284275775937
28,0.0072978086151536045
29,0.005589993332704737
30,0.004262608519253376
31,0.00815253754639713
32,0.003327923545290594
33,0.002231512751923174
34,0.004034290619602553
35,0.004250299480872431
36,0.005628965585759739
37,0.007894900536003637
38,0.012099483088702921
39,0.0043464128601784155
40,0.0048616151754857714
41,0.004132142114654944
42,0.002836559323235323
43,0.0029772664260289614
44,0.005920199769407934
45,0.00506893663724791
46,0.0035073907096361233
47,0.004516447062382183
48,0.006194185244275521
49,0.0035005330565276924
50,0.004921899337558815
51,0.0020379101876786473
52,0.005584850642691118
53,0.0037360586641536284
54,0.004955957332503131
55,0.008439816332179335
56,0.007704677837819744
57,0.007388773082396542
58,0.007377242128957559
59,0.00653248090891561
60,0.0042683989606007375
61,0.0039648842098714415
62,0.0070526371976800326
63,0.005325031318434021
64,0.003465747832711249
65,0.006022051601146418
66,0.002175543762812752
67,0.004025230410245516
68,0.0029550934182713227
69,0.005774311756082999
70,0.0053774815797448736
71,0.0028885211356248983
72,0.006840691988562032
73,0.0060844732301081755
74,0.005975839826673483
75,0.007884229827708249
76,0.0038727795530146755
77,0.0030245651245122337
78,0.007838511496853353
79,0.00909657080099608
80,0.00871810770495101
81,0.005457540371589319
82,0.0030985559690780355
83,0.007368840273984094
84,0.0019932187516882786
85,0.0037112469672934616
86,0.005756297298456191
87,0.0024918134905105426
88,0.003630714525323784
89,0.004789553983721433
90,0.006117793814497143
91,0.004776599230866228
92,0.0062201863189812814
93,0.0019190329888825112
94,0.00447105955893972
95,0.0044700563214744825
96,0.008192188252296763
97,0.0042812504666048384
98,0.008689303057281834
99,0.005827103415271866
100,0.005158474691234184
101,0.010912108466438468
102,0.002730054274647224
103,0.0020541989647608542
104,0.004815743318991671
105,0.005210605362383183
106,0.003701777146089817
107,0.002952588549398137
108,0.0051639326466956445
109,0.004282989363523266
110,0.008125052187472455
111,0.00500609319384044
112,0.008746104389720462
113,0.005428950058486632
114,0.0064666738351750585
115,0.003618658069359841
116,0.008066686365956609
117,0.004204720009460393
118,0.005048898813410217
119,0.006855740586855227
120,0.007380255509125367
121,0.005271400825619159
122,0.004242745552620204
123,0.0060577581438419
124,0.004594318125010445
125,0.004188418248423829
126,0.006451520085799307
127,0.004800976268739453
128,0.0039777791887937106
129,0.003413427107184709
130,0.0057335727818011925
131,0.0072461692393771746
132,0.005577058432746855
133,0.005599784531395917
134,0.003558620613011567
135,0.0025842037076218775
136,0.004554172691533458
137,0.005815364494334105
138,0.006940700029738435
139,0.004073017584781062
140,0.004759303185787787
141,0.007228580522367285
142,0.002803696858027664
143,0.0018871088345644364
144,0.002806777977961881
145,0.003199621517438959
146,0.003577320823869322
147,0.005320860448277696
148,0.010338474809681635
149,0.00129968559933518
150,0.004091180849713459
151,0.001855091899741694
152,0.001993700162920685
153,0.004356115321030855
154,0.010348666444587616
155,0.0020903840124553083
156,0.005705390676401308
157,0.008002964914064652
158,0.003924650784799711
159,0.0029699470079925165
160,0.0030559240482015064
161,0.003340700036636133
162,0.007990167063337175
163,0.0034350724543217507
164,0.004296279577830072
165,0.004213495447369646
166,0.004700909556154924
167,0.004250437950981907
168,0.0018351052187181786
169,0.009145571265743106
170,0.003689758540431846
171,0.007016269013129791
172,0.005853418297981992
173,0.00357340454193749
174,0.006523780741109193
175,0.002915188954991203
176,0.005434091012932567
177,0.005364852438187372
178,0.005667272531202465
179,0.004321046744747271
180,0.002929968128427045
181,0.012064506263961099
182,0.003963304517005654
183,0.0030129662523903293
184,0.006795310522721417
185,0.009356612051624073
186,0.009275234575479414
187,0.002882594246247892
188,0.0033510430397758403
189,0.005242012224084873
190,0.004267991492950969
191,0.0044190709807184324
192,0.0030721264182191187
193,0.006819061215590545
194,0.007594913663765905
195,0.009380376018245325
196,0.008312999371576944
197,0.004207906515950953
198,0.0037317838154349785
199,0.00852214047505155
200,0.0036512132992673873
201,0.005491113139600446
202,0.005373587685408486
203,0.007502497466917522
204,0.01263051310388811
205,0.0036722603811246905
206,0.006591897735945998
207,0.007983189673258326
208,0.0021323433396707656
209,0.005671287947517546
210,0.0030766024231340325
211,0.007304549511163709
212,0.006705816926399287
213,0.006578432243641762
214,0.004914901726984789
