Rank,Dimension,Contribution
Optimal Components,216,
1,308,8.244980568459173
2,333,7.696601732497535
3,452,7.5158670080046335
4,197,7.507505142283005
5,505,7.446445352115548
6,408,7.394148708848357
7,563,7.377401122038091
8,432,7.361637886254391
9,379,7.206473649490315
10,166,7.1769380770115285
11,435,7.151212610067155
12,445,7.147674730663242
13,752,7.127549326695137
14,196,7.088492927858101
15,324,7.044041658172475
16,52,7.004124821481652
17,174,7.001315532949769
18,553,6.996356985856595
19,291,6.988956327060827
20,390,6.982473399247378
