Rank,Dimension,Contribution
1,308,8.22670767663775
2,333,7.664730381111246
3,432,7.513754772313818
4,452,7.4957085217059864
5,563,7.464950860972823
6,505,7.425836982109439
7,197,7.39517830203689
8,408,7.367068030117065
9,752,7.236923570685542
10,435,7.194984230631606
11,52,7.136439740306933
12,445,7.1166154701414
13,174,7.088285356441155
14,520,7.06469547167049
15,553,7.058106340167286
16,196,7.038691932198345
17,166,7.034265186218999
18,324,7.01522904255796
19,617,7.014431812349809
20,262,7.004900825933186
