Rank,Feature,Importance
1,62,0.8913594795410622
2,91,1.6471228491223247
3,100,1.2298235357445828
4,213,1.0268580556996325
5,316,1.2792300235755762
6,405,0.7764249472764819
7,419,1.1058804574174688
8,443,0.9620024622330483
9,446,1.7006843394672333
10,477,0.918142703242803
11,492,0.8902725470053913
12,506,0.9154796356643679
13,526,1.3104614061769422
14,599,1.08883734364479
15,610,0.9489882699498107
16,664,1.2296456888974745
17,691,0.8778976002888269
18,710,1.1593291408222437
19,726,1.325019704672267
20,748,1.3334214352184965
