Rank,Dimension,Contribution
Optimal Components,231,
1,752,8.689695996348922
2,308,8.675711124718038
3,432,8.585642143214267
4,180,7.918868149006759
5,46,7.728435627067482
6,505,7.6949135969410225
7,575,7.67461426871708
8,227,7.643193069161163
9,743,7.568325383493178
10,452,7.548996966767306
11,204,7.44452140164004
12,639,7.444167289915424
13,562,7.438646207795021
14,727,7.4377606398892055
15,750,7.436695772022791
16,541,7.427944073964393
17,226,7.422404494733399
18,553,7.415339263095948
19,279,7.393283686386204
20,656,7.381805150122474
