Rank,Dimension,Contribution
1,752,8.781433245758638
2,432,8.726184999498134
3,308,8.580779302778156
4,180,7.939919502397526
5,505,7.885963592571428
6,227,7.650330067400949
7,575,7.611552609625863
8,226,7.592041518241308
9,452,7.576104773264166
10,46,7.568452743615676
11,279,7.560469922985371
12,260,7.552101677944597
13,727,7.5188618568539205
14,639,7.515101099940493
15,743,7.5003675127963945
16,731,7.478449082225655
17,750,7.4747164336546446
18,265,7.466852812354406
19,551,7.452707461817407
20,562,7.45031918594931
