Rank,Feature,Importance
1,4,2.763751235867818
2,38,3.392532257353415
3,60,2.301478878728503
4,156,2.4764504949919064
5,264,2.183628676143615
6,330,2.0977331384545463
7,335,2.5921485973075042
8,393,2.720053047934075
9,411,2.643410680539989
10,448,2.867635027284295
11,470,3.3543989542811556
12,522,2.962796277635404
13,548,2.4653000883737044
14,556,2.447653085074192
15,586,2.743236729736729
16,620,2.9409578030360213
17,641,2.3837554955409224
18,653,2.470239143159524
19,684,2.596709687541147
20,717,2.3298952094678915
