Rank,Dimension,Contribution
Optimal Components,282,
1,308,9.55025655031094
2,432,9.524561635524766
3,390,9.344324529648903
4,563,9.329888477138091
5,197,9.321339186916232
6,226,9.30700832382745
7,505,9.298120103493314
8,536,9.273673931887846
9,743,9.184089888626144
10,318,9.151739071854006
11,750,9.098595838822513
12,452,9.084478247726262
13,748,9.057602532846905
14,731,9.048456720376947
15,301,9.012575507260578
16,473,8.933624561784674
17,291,8.914133135868315
18,533,8.900440398934649
19,603,8.882490254693831
20,52,8.873544346297361
