Rank,Dimension,Contribution
1,432,9.582859189862628
2,308,9.547229025704231
3,505,9.532383367266688
4,226,9.36633436593302
5,743,9.328694423988571
6,536,9.311710184996278
7,390,9.29000203742493
8,197,9.192935016855744
9,318,9.082417867589957
10,748,9.024577618436897
11,301,9.020104814068938
12,298,9.011318248419766
13,563,9.0111618928552
14,533,8.998025240118992
15,452,8.963090673201135
16,180,8.948663512472127
17,183,8.913656779966232
18,750,8.911485155774052
19,345,8.896477294136078
20,731,8.878767973788033
