Rank,Feature,Importance
1,16,3.141293545870928
2,27,2.8027118265526623
3,73,2.272447707228634
4,95,3.0367875194921767
5,111,3.5508794375039923
6,113,2.744305114712125
7,205,2.188616737089992
8,222,2.63369702423907
9,281,1.3779219809801813
10,286,3.078198634359188
11,339,1.325384898291649
12,471,2.011886649714804
13,486,2.2498752244117126
14,523,4.040016499409611
15,592,2.325799708779803
16,653,4.219787707639256
17,693,2.6110312547910532
18,694,1.4927102307650897
19,757,1.7988541122843105
20,766,2.903372243610577
